,index,Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje
0,1025,@saz2000,Alejandro Zuñiga/Bomberos NL,"Aug 10, 2024 · 2:25 PM UTC",buenos días hoy por la madrugada elementos de bomberos nl asignados a la estación atendieron reporte de incendio en vehículo colonia central monterrey nl,13,1,0,0,https://twitter.com/saz2000/status/1822278078057287693#m,,['https://video.twimg.com/ext_tw_video/1822278053411639296/pu/pl/Qb9MJINYGTuz0BkJ.m3u8?tag=12'],,eléctrico,-1.0682160779833794
1,2406,@Mty_Leones,Vecino de Cumbres,"Jun 20, 2024 · 4:29 PM UTC",de nuevo fuerte viento y lluvia en la zona cumbres si no tiene a que salir no lo haga,25,0,1,0,https://twitter.com/Mty_Leones/status/1803827429909164165#m,,,,lluvia,-0.6254424899816513
2,450,@SSPCMonterrey,Seguridad y Protección a la Ciudadanía Monterrey,"Jun 21, 2024 · 12:16 AM UTC",compañeros de policía y tránsito continuan asistiendo a nuestra ciudadanía en este segundo día de la tormenta tropical alberto,6,0,1,0,https://twitter.com/SSPCMonterrey/status/1803945068925010421#m,"['https://pbs.twimg.com/media/GQjmelAWQAAJwoO.jpg', 'https://pbs.twimg.com/media/GQjmeqrWgAALHjs.jpg', 'https://pbs.twimg.com/media/GQjmelAXoAAYRUF.jpg']",,,inundación,1.37531603500247
3,2593,@cesarmty,César Cepeda,"Jun 20, 2024 · 8:46 PM UTC",importante así luce este edificio de departamentos ubicado en el centro de monterrey en la calle héroes del y washington con daños por el paso de la tormenta tropical alberto que impactó a nuevo león cc pcnuevoleon pcmty,104,35,18,8,https://twitter.com/cesarmty/status/1803892250411438170#m,['https://pbs.twimg.com/media/GQi1yxsWIAAE_jZ.jpg'],,,eléctrico,0.8437401056289673
4,439,@911SanPedro,Rescate 911 San Pedro,"May 11, 2024 · 5:54 PM UTC",precaución sobre la av gomez morin y av roberto garza sada unidades atienden el reporte de un accidente vial en el cual participan varios vehículos spgg pcsp,33,5,0,1,https://twitter.com/911SanPedro/status/1789353279605866960#m,,['https://video.twimg.com/ext_tw_video/1789353255014653952/pu/pl/m-8PPvQlzx0xXwAE.m3u8?tag=12'],,no se relaciona,-1.0885223522782326
5,1385,@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 6, 2024 · 10:30 PM UTC",reportan un accidente con un motociclista en garza sada de sur a norte en carril de alta a la altura de autozone poco antes de lagos del bosque precaución al circular por la zona sspcmonterrey,9,0,0,0,https://twitter.com/AtentosMTYSur/status/1787610902620946566#m,,['https://video.twimg.com/ext_tw_video/1787610879829176320/pu/pl/-EeqfitaQYTcAApT.m3u8?tag=12'],,no se relaciona,-0.8982252180576324
6,1642,@911SanPedro,Rescate 911 San Pedro,"Jun 3, 2024 · 1:25 PM UTC",precaución sobre la av lázaro cárdenas pteote y paseo olga unidades atienden el reporte de un accidente vial tipo volcadura tráfico presente en la zona spgg pcsp,12,4,0,0,https://twitter.com/911SanPedro/status/1797620503013929317#m,['https://pbs.twimg.com/media/GPJuUhhXUAA6sqb.jpg'],,,no se relaciona,-1.0028422586619854
7,1942,@Like_Mty,Likemty,"Jun 20, 2024 · 7:04 PM UTC",imágenes muestran el desbordamiento del río santa catarina bajo el puente cuauhtémoc en cadereyta nl la crecida del agua ha generado preocupación entre los residentes locales y autoridades de protección civil mtyfollow soloenmty cumbresreporta,44,12,0,0,https://twitter.com/Like_Mty/status/1803866526124249599#m,,['https://video.twimg.com/ext_tw_video/1803866441147613184/pu/pl/eeHkalBcK6eyu81i.m3u8?tag=12'],,inundación,-1.041086308658123
8,1061,@911SanPedro,Rescate 911 San Pedro,"Aug 11, 2024 · 4:04 AM UTC",nos encontramos atendiendo el reporte de un incendio en la parte alta del cerro de la loma larga cerca de la colonia vista real spgg pcsp,22,7,0,0,https://twitter.com/911SanPedro/status/1822484106158207138#m,['https://pbs.twimg.com/media/GUrDooTbYAAx6SB.jpg'],,,eléctrico,0.3295780122280121
9,1293,@camion_desde,🚍Desde El Camión🚏,"Jun 20, 2024 · 6:56 PM UTC",ruta va brindar servicio al menos que digan otra cosa están checando los recorridos para evitar zonas con cierres o afectadas por la lluvia,32,3,5,1,https://twitter.com/camion_desde/status/1803864394285154411#m,,,,lluvia,-0.261252611875534
