Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Jun 21, 2024 · 6:01 PM UTC","💡#ServicioDeElectricidad sin luz en Roble entre Melchor Múzquiz y Guadalupe Victoria, Col. Talleres #Monterrey vía DM cc @CFE_Contigo",0,0,0,0,https://twitter.com/Cicmty/status/1804213103976157416#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:57 PM UTC","💡#ServicioDeElectricidad sin luz en Termópilas y Ramón Corral, Col. Estrella #Monterrey vía DM cc @CFE_Contigo",0,0,0,0,https://twitter.com/Cicmty/status/1804212041290518665#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:39 PM UTC","💡#ServicioDeElectricidad 38 horas sin luz en Compás entre Dragón y Meseta, Col. San Bernabé (Fomerrey 51) #Monterrey vía @_LuisJesus_ cc @CFE_Contigo",1,1,0,0,https://twitter.com/Cicmty/status/1804207583399379036#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:36 PM UTC",💧#CuidadoDelAgua sin suministro de agua en la colonia Colinas del Valle #Monterrey vía @Ana04946347 cc @ayd_monterrey,2,0,0,0,https://twitter.com/Cicmty/status/1804206829112594771#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:28 PM UTC","#VíaObstruida por árbol caído sobre cables de alta tensión en Nicolás Copérnico 801 entre Galileo Galilei y Arquímedes, Col. Contry La Silla 1er Sector #Guadalupe vía DM cc @municipiodegpe @CFE_Contigo @PC_NuevoLeon",4,1,0,0,https://twitter.com/Cicmty/status/1804204805260235041#m,['https://pbs.twimg.com/media/GQnSrUJXAAE4bG7.jpg'],,
@Cicmty,CIC,"Jun 21, 2024 · 5:24 PM UTC","💡#ServicioDeElectricidad sin luz en Av. Jorge Treviño entre Av. Juan Pablo II y Av. Las Puentes, Col. Las Puentes 1er Sector #SanNicolás vía DM cc @CFE_Contigo",2,0,0,0,https://twitter.com/Cicmty/status/1804203769753932056#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:21 PM UTC","💡#ServicioDeElectricidad sin luz en Villa Australiana 127 y Villa Irlandesa, Col. Cumbres Elite, Sector Villas #Monterrey vía DM cc @CFE_Contigo",2,0,3,1,https://twitter.com/Cicmty/status/1804203061407093066#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 5:18 PM UTC","💡#ServicioDeElectricidad sin luz en Pedregal de La Costa entre Pedregal de la Silla Norte y Pedregal de La Cañada Norte, Col. Pedregal La Silla #Monterrey vía Wsp cc @CFE_Contigo",1,0,0,0,https://twitter.com/Cicmty/status/1804202163662430429#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 4:55 PM UTC",💧#CuidadoDelAgua sin suministro de agua en la colonia Cumbres 4o. Sector #Monterrey vía @terecastil cc @ayd_monterrey,4,2,1,0,https://twitter.com/Cicmty/status/1804196528606876039#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 4:52 PM UTC","💡#ServicioDeElectricidad sin luz en Gardenias #100 entre Av. Los Reales y Villas de Guadalupe, Col. Los Reales 2do Sector #SanNicolás vía DM cc @CFE_Contigo",1,0,0,0,https://twitter.com/Cicmty/status/1804195731865006140#m,,,
