Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes
@Cicmty,CIC,"Jun 23, 2024 · 12:10 AM UTC",,7,0,0,0,https://twitter.com/Cicmty/status/1804668336867000417#m,['https://pbs.twimg.com/media/GQt4QsNWUAAdaBc.jpg']
@Cicmty,CIC,"Jun 23, 2024 · 12:02 AM UTC",💧#CuidadoDelAgua sin suministro en la Col. Barrio Alameda #Monterrey vía @monale14 cc @ayd_monterrey 01S7A7,1,0,5,0,https://twitter.com/Cicmty/status/1804666420749341131#m,
@Cicmty,CIC,"Jun 22, 2024 · 11:27 PM UTC","💡#ServicioDeElectricidad sin servicio en Frenol entre Minería y Salitre, Col. Unidad Pedreras #Monterrey vía @ClaudiaRmzB cc @CFE_Contigo  8146QN",0,0,0,0,https://twitter.com/Cicmty/status/1804657595254202687#m,
@Cicmty,CIC,"Jun 22, 2024 · 11:20 PM UTC","💡#ServicioDeElectricidad sin servicio en la Av. Juan Ignacio Ramón entre Porfirio Diaz y Serafín Peña, Col. Centro #Monterrey vía DM cc @CFE_Contigo IUMST9",1,0,0,0,https://twitter.com/Cicmty/status/1804655622836662566#m,
@Cicmty,CIC,"Jun 22, 2024 · 11:15 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Montenegro #SantaCatarina vía DM cc @ayd_monterrey YUSDK1,1,0,2,0,https://twitter.com/Cicmty/status/1804654531663245439#m,
@Cicmty,CIC,"Jun 22, 2024 · 11:00 PM UTC","💡#ServicioDeElectricidad sin servicio en Lomas de la Fama y Prevención Social, Col. Lomas de la Fama #SantaCatarina vía @meremonreal21 cc @CFE_Contigo OCX9Y5",2,0,0,0,https://twitter.com/Cicmty/status/1804650731036639428#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:54 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Pedregal de la Silla #Monterrey vía @lucyicaza cc @ayd_monterrey CRK2PC,0,0,0,0,https://twitter.com/Cicmty/status/1804649082943865114#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:51 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Talleres #Monterrey vía @almitasalinas cc @ayd_monterrey W19J9R,0,0,0,0,https://twitter.com/Cicmty/status/1804648519627944187#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:47 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Mitras Centro #Monterrey vía @_M_Noriega cc @ayd_monterrey HVDGCU,1,0,0,1,https://twitter.com/Cicmty/status/1804647317208809566#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:45 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Loma Blanca #SantaCatarina vía @cyanideion cc @ayd_monterrey ZXAN4E,0,0,1,0,https://twitter.com/Cicmty/status/1804646811623162018#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:28 PM UTC","💡#ServicioDeElectricidad sin servicio en Paseo de los Estudiantes y Paseo de a Sierra, Col. Cumbres 2do. Sector #Monterrey vía @chiquilina2345 cc @CFE_Contigo F7EL8Q",2,1,0,1,https://twitter.com/Cicmty/status/1804642626559164500#m,
@Cicmty,CIC,"Jun 22, 2024 · 10:14 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Los Cedros #Monterrey vía @magalymtzv cc  @ayd_monterrey 9C9PRS,1,0,1,0,https://twitter.com/Cicmty/status/1804639084410728943#m,
@Cicmty,CIC,"Jun 22, 2024 · 9:48 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Mitras Norte #Monterrey vía @0109jlav cc @ayd_monterrey PB1PNT,2,0,0,0,https://twitter.com/Cicmty/status/1804632552248148133#m,
@Cicmty,CIC,"Jun 22, 2024 · 9:45 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Valle de Infonavit 4to. Sector #Monterrey vía @GeraVII cc @ayd_monterrey G5K67F,2,0,0,0,https://twitter.com/Cicmty/status/1804631945651036512#m,
@Cicmty,CIC,"Jun 22, 2024 · 9:43 PM UTC","🚦#SemáforoDescompuesto apagado en Av. Benito Juárez y Av. Padre Mier, Col. Centro #Monterrey vía @ZusSalvador cc @SSPCMonterrey 6QRMYE",3,0,0,0,https://twitter.com/Cicmty/status/1804631354216501509#m,
