Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Videos,Imágenes
@elnortelocal,elnortelocal,"Jun 23, 2024 · 5:07 PM UTC",#Local Los daños por “Alberto” activan las alertas de los municipios ante la necesidad de minimizar afectaciones en la movilidad. https://elnorte.com/sPDhTn,1,0,0,0,https://twitter.com/elnortelocal/status/1804924169517199590#m,,
@elnortelocal,elnortelocal,"Jun 23, 2024 · 6:09 AM UTC","#Seguridad Un incendio, presuntamente de basura, moviliza a equipos de rescate en una empresa de la Colonia Bella Vista.  https://elnorte.com/ub2iWn",69,11,4,0,https://twitter.com/elnortelocal/status/1804758615930147326#m,['https://video.twimg.com/ext_tw_video/1804758548896743424/pu/vid/avc1/848x480/tdpxnluGxHNfjBLt.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 23, 2024 · 12:52 AM UTC",#Local Nuevo León solicitará el estado de emergencia a la Federación para poder acceder a recursos para la reconstrucción de daños por Alberto.  https://elnorte.com/f5l8On,13,1,1,0,https://twitter.com/elnortelocal/status/1804678800191685022#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 9:59 PM UTC","#Entérate Habitantes del Fraccionamiento Los Viñedos, en Santa Catarina, increpan al Alcalde Jesús Nava durante un bloqueo que realizan en la Carretera a García por la falta de luz.  Más información: https://elnorte.com/R56aXn",359,95,77,13,https://twitter.com/elnortelocal/status/1804635396027932703#m,['https://video.twimg.com/ext_tw_video/1804634857793884161/pu/vid/avc1/1280x720/2qHblpqlEjAITgFU.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 22, 2024 · 9:01 PM UTC","#Local Vecinos de la Colonia Sierra Ventana bloquearon la Avenida Garza Sada al reclamar la falta de energía eléctrica desde hace 4 días. Al momento, elementos de Tránsito de Monterrey reabren la circulación.  https://elnorte.com/R56aXn",15,6,0,0,https://twitter.com/elnortelocal/status/1804620699048259639#m,,['https://pbs.twimg.com/media/GQtMdL-X0AEXcCy.jpg']
@elnortelocal,elnortelocal,"Jun 22, 2024 · 8:31 PM UTC","#Seguridad Un hombre es detenido por presuntamente privar de la libertad a otro, quien después apareció sin vida y calcinado, en Ciénega de Flores.  https://elnorte.com/ZveTEn",4,0,0,0,https://twitter.com/elnortelocal/status/1804613208235217243#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 8:14 PM UTC","#Seguridad Un hombre y una mujer mueren atropellados por una conductora que circuló en contra, en la calle Rayón, entre 5 de Mayo y 15 de Mayo, en el Centro de Monterrey.  https://elnorte.com/I4ib8n",19,4,0,1,https://twitter.com/elnortelocal/status/1804608961750155396#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 8:05 PM UTC",#Local Congreso pide al Gobernador entregar recursos pendientes a municipios como muestra de que cumplirá enviar completo el Paquete Fiscal 2024.  https://elnorte.com/bhPVln,228,75,39,4,https://twitter.com/elnortelocal/status/1804606615468880331#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 7:42 PM UTC",#Local Un árbol es tragado por un socavón el jueves en una banqueta de la zona centro de San Nicolás; vecinos temen que riesgo se haga mayor.  https://elnorte.com/GCfQen,907,126,24,23,https://twitter.com/elnortelocal/status/1804600844995739726#m,['https://video.twimg.com/ext_tw_video/1804600812271763456/pu/vid/avc1/848x478/CIkUR-imVXzRNNRm.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 22, 2024 · 7:32 PM UTC",#Local Municipio de Escobedo exhorta al Infonavit a prestar temporalmente casas a los afectados de la explosión en la Colonia San Marcos.  https://elnorte.com/W03fkn,11,3,6,2,https://twitter.com/elnortelocal/status/1804598454288597015#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 7:24 PM UTC","#Local Habitantes de la Sierra alta de Santiago denuncian que se encuentran incomunicados, sin agua potable, luz y con carreteras destruidas.  https://elnorte.com/exrn8n",13,1,0,0,https://twitter.com/elnortelocal/status/1804596432101429423#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 7:16 PM UTC","#Local La tormenta ""Alberto"" dejó una estampa impresionante de la corriente en el Río Santa Catarina. Ve el antes y el después de sus efectos.  https://elnorte.com/YwcR5n",8,1,1,0,https://twitter.com/elnortelocal/status/1804594428574879886#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 7:05 PM UTC","#Seguridad Un hombre resulta con una fractura en la pierna izquierda tras ser arrollado por una camioneta, en San Pedro.  https://elnorte.com/emUWJn",5,1,0,0,https://twitter.com/elnortelocal/status/1804591542201352537#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 6:56 PM UTC","#Local Por talud de canal de desagüe en Escobedo que cayó tras las lluvias, Municipio inhabilita un carril de un tramo, frente al Sector Nexxus.  https://elnorte.com/gLfTin",20,5,1,0,https://twitter.com/elnortelocal/status/1804589333912940622#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 6:27 PM UTC","#Entérate En protesta por la falta de luz y agua desde el miércoles, vecinos en San Pedro bloquean las avenidas Emiliano Zapata y Manuel L. Clouthier.  https://elnorte.com/R56aXn",57,9,4,0,https://twitter.com/elnortelocal/status/1804582091809562825#m,['https://video.twimg.com/ext_tw_video/1804577582404239360/pu/vid/avc1/848x480/5rrzM6XBZU_fNr7q.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 22, 2024 · 6:07 PM UTC",#Seguridad Trabajadores y habitantes que se encontraban en zonas donde el agua hizo de las suyas son rescatados por cuerpos de auxilio.  https://elnorte.com/chjdNn,6,0,0,0,https://twitter.com/elnortelocal/status/1804576860698722361#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 5:52 PM UTC","#Seguridad Un joven es asesinado a balazos en el interior de su casa, en la Colonia Valle Santa Isabel, en Juárez.  https://elnorte.com/sKbuQn",2,0,0,0,https://twitter.com/elnortelocal/status/1804573212228854251#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 5:43 PM UTC","#Seguridad Pese a que la puerta estaba cerrada, un hombre entra por ventanilla para asaltar una tienda de conveniencia; es detenido al interceptarlo.  https://elnorte.com/0HXMhn",5,0,1,1,https://twitter.com/elnortelocal/status/1804571047963877566#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 5:34 PM UTC","#Seguridad La mujer reportada como desaparecida tras ser arrastrada por la corriente de un arroyo, en Cadereyta, es hallada sin vida.  https://elnorte.com/vJ7BJn",5,0,0,0,https://twitter.com/elnortelocal/status/1804568685782122926#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 5:14 PM UTC","#Local Al sostener que aún no puede existir una evaluación de daños, Luis Donaldo Colosio estima que reparaciones de vialidades serán heredadas.  https://elnorte.com/E5jHfn",20,5,7,3,https://twitter.com/elnortelocal/status/1804563588301906116#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 3:54 PM UTC","#Local Pese a que las lluvias cedieron, escurrimientos de la tormenta 'Alberto' caen a las Presas de NL, causando que siga aumento almacenamiento. https://elnorte.com/k3ytzn",29,5,0,0,https://twitter.com/elnortelocal/status/1804543441998692789#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:59 PM UTC","#Local El Parque Ecológico Chipinque mantiene un cierre preventivo tras el deslave de material rocoso en la vialidad principal, en San Pedro.  https://elnorte.com/bDsD3n",2,1,0,0,https://twitter.com/elnortelocal/status/1804529733792682422#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:59 PM UTC","#Local Habitantes de Santiago, Iturbide, Zaragoza y Aramberri, que están incomunicados por las lluvias, piden el apoyo del Gobierno del Estado.  https://elnorte.com/856rVn",78,36,11,3,https://twitter.com/elnortelocal/status/1804529596680864218#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:55 PM UTC","#Local El desgajamiento de una pared de rocas del Cerro del Topo Chico, deja a 4 personas con golpes leves, entre ellas 3 menores.  https://elnorte.com/qblYBn",0,0,0,0,https://twitter.com/elnortelocal/status/1804528726715101650#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:50 PM UTC","#Local Durante el paso de la tormenta 'Alberto' que trajo consigo lluvias intensas, el Par Vial de Constitución y Morones Prieto resulta con daños.  https://elnorte.com/akwlUn",3,2,0,0,https://twitter.com/elnortelocal/status/1804527428594696243#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 2:50 PM UTC","#Local Y tras las lluvias, el almacenamiento conjunto de las presas que abastecen al área metropolitana se dispara 119 por ciento en sólo dos días.  https://elnorte.com/kDLhsn",5,0,1,0,https://twitter.com/elnortelocal/status/1804527291860451606#m,,
@elnortelocal,elnortelocal,"Jun 22, 2024 · 12:31 AM UTC","#Local El desgajamiento de una pared de rocas del Cerro del Topo Chico deja a 4 personas con golpes leves, entre ellas 3 menores.  https://elnorte.com/qblYBn",72,10,2,1,https://twitter.com/elnortelocal/status/1804311235308986383#m,['https://video.twimg.com/ext_tw_video/1804311143436992512/pu/vid/avc1/480x848/4LE2QYa6HktzUjen.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 21, 2024 · 11:37 PM UTC","#Local La tormenta #Alberto dejó una estampa impresionante de la corriente en el Río #SantaCatarina, en #NL. Ve el antes y el después de sus efectos.  https://elnorte.com/YwcR5n",5,5,0,0,https://twitter.com/elnortelocal/status/1804297618865914027#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 9:47 PM UTC","#Entérate La Avenida Luis D. Colosio queda sepultada bajo toneladas de basura y escombro luego de que un arroyo de la zona de desbordara, en Santa Catarina.  https://elnorte.com/mbnk0n",23,5,8,0,https://twitter.com/elnortelocal/status/1804270058903896487#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 7:28 PM UTC","#Local Conagua vigila una zona de baja presión en el Golfo, con potencial para desarrollo ciclónico, que traerá lluvias a partir del domingo a NL.  https://elnorte.com/J1Anfn",25,10,1,1,https://twitter.com/elnortelocal/status/1804234944123932795#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:42 PM UTC","#Entérate Sectores aledaños a la Presa Libertad sufren inundaciones generadas por los escurrimientos de las lluvias acumuladas, en Linares.  Más información en https://elnorte.com/o0saBn",50,11,2,0,https://twitter.com/elnortelocal/status/1804208385442607331#m,['https://video.twimg.com/ext_tw_video/1804208357596663808/pu/vid/avc1/480x848/ogfeg6Xv2TU0-HL5.mp4?tag=12'],
@elnortelocal,elnortelocal,"Jun 21, 2024 · 5:00 PM UTC","#Entérate El Gobernador Samuel García anuncia que enviará el Presupuesto 2024 ""completo"" al Congreso para que aprueben fondos para reparar daños.  https://elnorte.com/M3kQen",29,5,26,4,https://twitter.com/elnortelocal/status/1804197828811522395#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:50 PM UTC","#Entérate Tras las lluvias de ""Alberto"", el Gobernador Samuel García se compromete a arrancar el lunes la reconstrucción de los daños en el Par Vial.  https://elnorte.com/Qw6c1n",8,1,2,0,https://twitter.com/elnortelocal/status/1804195172462522809#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:49 PM UTC","#Entérate Toneladas de escombro y basura sepultan la Avenida Luis Donaldo Colosio, en Santa Catarina, tras escurrimientos por la tormenta ""Alberto"".  https://elnorte.com/HbcFzn",6,2,1,0,https://twitter.com/elnortelocal/status/1804195016228901325#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:48 PM UTC","#Entérate La Conagua reporta que algunas estaciones de medición alcanzan los 500 milímetros de agua tras las lluvias de la tormenta ""Alberto"" en NL.  https://elnorte.com/MMrSvn",24,5,1,0,https://twitter.com/elnortelocal/status/1804194744689479787#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:50 PM UTC","#Local Por décadas, habitantes de las colonias al norte de Monterrey sufrían por las inundaciones, ahora, sufren por la basura que tapa el drenaje.  https://elnorte.com/XXDq2n",16,2,5,0,https://twitter.com/elnortelocal/status/1804164890686337412#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:36 PM UTC","#Local La tormenta 'Alberto' ya impacta en recarga de presas de NL y en algunos daños, que no fueron similares a los causados por otros fenómenos.    Más información en https://elnorte.com/fdhw0n https://elnorte.com/tBtg8n",16,2,0,1,https://twitter.com/elnortelocal/status/1804161377080139789#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:34 PM UTC","#Local Luego de su peor nivel en 10 años, las 3 presas que abastecen a la Ciudad suben 28% su almacenamiento en conjunto con lluvias de ""Alberto"".  Más información en https://elnorte.com/3S4pmn https://elnorte.com/qYEv2n",3,1,0,0,https://twitter.com/elnortelocal/status/1804161032232780003#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC","#Local La tormenta ""Alberto"" provoca deslaves que paralizan la Autopista y la Carretera libre de Monterrey a Saltillo, y causan filas kilométricas.  https://elnorte.com/DeWy3n",10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 1:07 AM UTC","#Local Conagua advierte por lluvias fuertes e incluso caída de granizo y actividad eléctrica en las próximas horas, tras degradación de 'Alberto'.  https://elnorte.com/WlO85n",77,25,0,2,https://twitter.com/elnortelocal/status/1803957801535832310#m,,
@elnortelocal,elnortelocal,"Jun 21, 2024 · 12:47 AM UTC","#Entérate La Sierra de Santiago es impactada por lluvias de la tormenta ""Alberto"" que dejó deslaves e inundaciones; la Cola de Caballo se desborda.  Más información en https://elnorte.com/71iTin",74,16,0,2,https://twitter.com/elnortelocal/status/1803952907173216343#m,['https://video.twimg.com/ext_tw_video/1803952874633703424/pu/vid/avc1/720x1280/TCfvrCp4_yLJe-TJ.mp4?tag=12'],
