Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Sep 6, 2024 · 2:54 PM UTC","#Baches en rotonda de Av. No Reelección y Avenida de los Astros, Col. Barrio Estrella #Monterrey vía Wsp cc @ServPublicosMty",0,0,0,0,https://twitter.com/Cicmty/status/1832069928670646433#m,,,
@Cicmty,CIC,"Sep 6, 2024 · 2:39 PM UTC",⚠️ #Vialidad tráfico detenido en Av. Paseo de los Leones de pte. a ote. a la altura de Av. Cumbres del Sol #Monterrey 06:10 vía @ABMONTENEGRO74,0,0,0,0,https://twitter.com/Cicmty/status/1832066128220451227#m,['https://pbs.twimg.com/media/GWzOaKlWMAAMyhY.jpg'],,
@Cicmty,CIC,"Sep 6, 2024 · 2:35 PM UTC","🚦 #SemáforoDescompuesto apagado en Fray Bartolomé de las Casas y 15 de Agosto, Col. Roble 2do Sector #SanNicolás vía @nydpt cc @GobSanNicolas",1,0,0,0,https://twitter.com/Cicmty/status/1832064992654327998#m,,,
@Cicmty,CIC,"Sep 6, 2024 · 2:26 PM UTC","💡 #ServicioDeElectricidad sin luz en Porfirio Díaz entre Nueva Independencia y Tepeyac, Col. Independencia #Monterrey vía DM cc @CFE_Contigo",0,0,0,0,https://twitter.com/Cicmty/status/1832062862392717675#m,,,
@Cicmty,CIC,"Sep 6, 2024 · 2:22 PM UTC","🔥 #Incendio en poste en Av. Adolfo López Mateos y Emilia Lagrange S., Col. Valle de Las Granjas #SanNicolás vía @cynthiajtg cc @CFE_Contigo @saz2000",1,4,0,1,https://twitter.com/Cicmty/status/1832061905810432305#m,['https://pbs.twimg.com/media/GWzKTlaX0AAUF99.jpg'],,
@Cicmty,CIC,"Sep 6, 2024 · 2:09 PM UTC",,1,0,0,0,https://twitter.com/Cicmty/status/1832058573183992299#m,['https://pbs.twimg.com/media/GWzHjqBW0AAv75D.jpg'],,
@Cicmty,CIC,"Sep 6, 2024 · 3:00 AM UTC",,2,0,0,0,https://twitter.com/Cicmty/status/1831890282109137029#m,['https://pbs.twimg.com/media/GWwugD-WcAArrkX.jpg'],,
@Cicmty,CIC,"Sep 6, 2024 · 2:56 AM UTC","#Baches múltiples en Lateral de Av. Eloy Cavazos y Av. Paseo de las Américas, Col. Bosques de la Pastora #Guadalupe vía @mariavl76 cc @municipiodegpe A6LOSH",2,0,1,0,https://twitter.com/Cicmty/status/1831889131431203257#m,,,
@Cicmty,CIC,"Sep 6, 2024 · 2:18 AM UTC","#Bache socavón en Payandé y Tequila, Col. Cedros #Monterrey vía @miro_11 cc @pc_mty QY0CYE",8,4,0,1,https://twitter.com/Cicmty/status/1831879541419360730#m,"['https://pbs.twimg.com/media/GWwjS6MXUAA5DWj.jpg', 'https://pbs.twimg.com/media/GWwjS6JWsAApB2Z.jpg']",,
@Cicmty,CIC,"Sep 6, 2024 · 1:28 AM UTC","#PosteDañado fracturado en Antonio Machado y Gutierre de Cetina, Col. Anáhuac #SanNicolás vía DM cc @CFE_Contigo 3ZUJ9T",1,0,0,0,https://twitter.com/Cicmty/status/1831867158906986982#m,['https://pbs.twimg.com/media/GWwY795WQAAEbyu.png'],,
@Cicmty,CIC,"Sep 6, 2024 · 1:25 AM UTC","💡#ServicioDeElectricidad sin servicio en Plutarco Elías Calles entre Manuel L. Barragán y Av. Universidad, Col. Residencial Periférico #SanNicolás vía DM cc @CFE_Contigo 6YMFPX",0,0,0,0,https://twitter.com/Cicmty/status/1831866330464841843#m,,,
@Cicmty,CIC,"Sep 6, 2024 · 1:22 AM UTC","💡#ServicioDeElectricidad sin servicio en Claros entre Ares y Balboa, Col. El Porvenir #Monterrey vía DM cc @CFE_Contigo M90VEZ",0,0,0,0,https://twitter.com/Cicmty/status/1831865464320041048#m,,,
