Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Jun 22, 2024 · 12:29 AM UTC","💡#ServicioDeElectricidad sin servicio en Claveles entre Cactus y Av. Los Árboles , Col. Industrias del Vidrio #SanNicolás vía @nachorayas cc @CFE_Contigo DAHT0Z",0,0,0,0,https://twitter.com/Cicmty/status/1804310673415114973#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:23 AM UTC","#Registro sin tapa en  Simón Bolívar y Celaya, Col. Mitras Centro #Monterrey vía @ComunidadMitras cc @ayd_monterrey PDUL11",2,0,0,0,https://twitter.com/Cicmty/status/1804309255450997095#m,['https://pbs.twimg.com/media/GQoxj3zbEAA-QK9.jpg'],,
@Cicmty,CIC,"Jun 22, 2024 · 12:20 AM UTC","💡#ServicioDeElectricidad sin servicio en Pedregal del Arrecife y Pedregal la Silla, Col. Pedregal la Silla #Monterrey vía @Abaeagle cc @CFE_Contigo ENGBIP",0,0,0,0,https://twitter.com/Cicmty/status/1804308503739404620#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:17 AM UTC",💧#CuidadoDelAgua sin suministro en la Col. Pedregal La Silla #Monterrey vía @Abaeagle cc @ayd_monterrey PSSSGJ,0,0,1,0,https://twitter.com/Cicmty/status/1804307743265661163#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:14 AM UTC",💧#CuidadoDelAgua sin suministro en la Col. Contry Sur #Monterrey vía @enrique_garciaa cc @ayd_monterrey 0MA0LE,1,0,1,0,https://twitter.com/Cicmty/status/1804306909572534701#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:12 AM UTC",💧#CuidadoDelAgua sin suministro en la Col. El Obispo #SanPedro vía @LizRobles48185 cc @ayd_monterrey E018SQ,4,3,3,1,https://twitter.com/Cicmty/status/1804306509708603791#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:10 AM UTC","💡#ServicioDeElectricidad sin servicio en Basalto y Granito, Col. Basalto y Granito, Col. San Pedro 400 #SanPedro vía @meremonreal21 cc @CFE_Contigo LCG54C",1,0,0,0,https://twitter.com/Cicmty/status/1804305856944873726#m,,,
@Cicmty,CIC,"Jun 22, 2024 · 12:01 AM UTC","#PosteDañado fracturado en la calle Azulejos entre Anillo Periférico y Calle de los Mirlos, Col. Rincón de las Colinas #Monterrey vía  @ColinasSanJeron cc @CFE_Contigo 00YYXM",4,0,0,0,https://twitter.com/Cicmty/status/1804303597657821213#m,['https://pbs.twimg.com/media/GQorkkDakAMHJCS.png'],,
@Cicmty,CIC,"Jun 21, 2024 · 11:54 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Fama IV #SantaCatarina vía @Tobertito1 cc @ayd_monterrey GFE3PO,2,0,1,0,https://twitter.com/Cicmty/status/1804301815934259264#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:52 PM UTC","💡#ServicioDeElectricidad sin servicio en  Puerta del Sol y Paseo de los Fresnos, Col. Colinas de San Jerónimo #Monterrey vía @lorenagl85 cc @CFE_Contigo 6QU8A8",3,1,0,0,https://twitter.com/Cicmty/status/1804301350995660998#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:48 PM UTC","#LoteBaldío solicitan deshierbe en Av. Península Ibérica entre Bilbao y Castilla, Col. Villa Española #Guadalupe vía @Regio_Cr7 cc @municipiodegpe 7HMA6Y",0,0,0,0,https://twitter.com/Cicmty/status/1804300443537023441#m,['https://pbs.twimg.com/media/GQopTX9akAQANa4.jpg'],,
@Cicmty,CIC,"Jun 21, 2024 · 11:42 PM UTC","💡#ServicioDeElectricidad sin servicio en  Pedregal de Arrecife y Pedregal de la Silla, Col. Pedregal de la Silla #Monterrey vía @EugenioCS3 cc @CFE_Contigo BA5D7H",0,0,0,0,https://twitter.com/Cicmty/status/1804298825299038681#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:37 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Zimix #SantaCatarina vía @x_Lilith08 cc @ayd_monterrey 9YVVJJ,0,0,1,0,https://twitter.com/Cicmty/status/1804297609814925495#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:29 PM UTC","💡#ServicioDeElectricidad sin servicio en Ignacio Allende y Francisco Naranjo, Col. Centro #Monterrey vía @paulinapaf cc @CFE_Contigo QOELS6",0,0,0,0,https://twitter.com/Cicmty/status/1804295547244941818#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:20 PM UTC","#Banqueta obstruida con cables caídos en Ocotlán 4847 entre Av. Zapopan y Arandas, Col. Los Altos 3Monterrey vía #CIVIX cc @ServPublicosMty",1,0,0,0,https://twitter.com/Cicmty/status/1804293281972400620#m,['https://pbs.twimg.com/media/GQojK40XkAATarh.png'],,
@Cicmty,CIC,"Jun 21, 2024 · 11:06 PM UTC",💧#CuidadoDelAgua baja presión en la Col. Samsara Sector Bellini #García vía @juliogamboa cc @ayd_monterrey 3Z0LYI,0,0,2,0,https://twitter.com/Cicmty/status/1804289877388988699#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 11:03 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Pedregal de la Silla #Monterrey vía @lucyicaza cc @ayd_monterrey CG4L14,1,0,4,0,https://twitter.com/Cicmty/status/1804289143637446946#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:56 PM UTC","🚦#SemáforoDescompuesto apagado en Av. Sendero Divisorio y Carr. a Colombia, Col. #SanNicolás vía @Patts18 cc @MovilidadSN NW37IM",1,0,0,0,https://twitter.com/Cicmty/status/1804287343421198692#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:54 PM UTC","💡#ServicioDeElectricidad sin servicio en  Villa Génova y Villa Concordia, Col. Villas del Mirador #SantaCatarina vía @kikakikikitty cc @CFE_Contigo KDFLFL",0,0,0,0,https://twitter.com/Cicmty/status/1804286793824768399#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:41 PM UTC","💧#CuidadoDelAgua sin suministro en la Col. Paseo de la Cordillera y De los 4 Parques, Col. Cumbres 2do. Sector #Monterrey vía @Ofelia7 cc @ayd_monterrey SETHAI",1,0,3,0,https://twitter.com/Cicmty/status/1804283429674184727#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:36 PM UTC","#Registro sin tapa en Celaya y Simón Bolívar, Col. Mitras Centro #Monterrey vía @mvzcrismercado cc @ayd_monterrey CB0DAY",1,0,2,0,https://twitter.com/Cicmty/status/1804282224231223393#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:33 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Colinas del Valle #Monterrey vía @orgzz cc @ayd_monterrey VA0F6D,1,0,2,0,https://twitter.com/Cicmty/status/1804281408040636686#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:21 PM UTC","#ZonaDeRiesgo cable de alta tensión caído en Segadora y Muserola, Col. San Bernabé X Sector #Monterrey vía Wsp cc @CFE_Contigo @pc_mty",3,0,0,0,https://twitter.com/Cicmty/status/1804278384584745281#m,['https://pbs.twimg.com/media/GQoVVnaXAAA-gpK.jpg'],,
@Cicmty,CIC,"Jun 21, 2024 · 10:19 PM UTC",💧#CuidadoDelAgua sin suministro en la Col. Paseo del Vergel #Monterrey vía @maucastro_s cc @ayd_monterrey 3TH36I,1,0,1,0,https://twitter.com/Cicmty/status/1804277962801582164#m,,,
@Cicmty,CIC,"Jun 21, 2024 · 10:16 PM UTC","💡#ServicioDeElectricidad sin servicio en Lucerna y Av. Los Pinos, Col. Los Ángeles #SanNicolás vía @ClauGon11264463 cc @CFE_Contigo 7GNQNB",2,0,0,0,https://twitter.com/Cicmty/status/1804277223060574455#m,,,
