Fecha, Nivel(m), Gasto(m³/s)
01-01-14,-,-
02-01-14,0.35,1.94
03-01-14,0.35,1.9
04-01-14,0.33,1.71
05-01-14,0.32,1.62
06-01-14,0.3,1.44
07-01-14,0.3,1.42
08-01-14,0.3,0.41
09-01-14,0.29,1.19
10-01-14,0.29,1.19
11-01-14,0.29,1.18
12-01-14,0.29,1.21
13-01-14,0.29,1.2
14-01-14,0.29,1.16
15-01-14,0.27,1.02
16-01-14,0.27,0.98
17-01-14,0.27,1.01
18-01-14,0.27,1.02
19-01-14,0.27,1.02
20-01-14,0.25,0.84
21-01-14,0.25,0.84
22-01-14,0.25,0.89
23-01-14,0.24,0.84
24-01-14,0.24,0.84
25-01-14,0.24,0.86
26-01-14,0.24,0.83
27-01-14,0.24,0.8
28-01-14,0.23,0.78
29-01-14,0.23,0.74
30-01-14,0.23,0.77
31-01-14,0.23,0.77
01-02-14,0.23,0.77
02-02-14,0.23,0.77
03-02-14,0.23,0.67
04-02-14,0.23,0.7
05-02-14,0.23,0.7
06-02-14,0.23,0.69
07-02-14,0.23,0.7
08-02-14,0.23,0.69
09-02-14,0.23,0.71
10-02-14,0.22,0.67
11-02-14,0.22,0.68
12-02-14,0.22,0.64
13-02-14,0.22,0.64
14-02-14,0.22,0.63
15-02-14,0.22,0.64
16-02-14,0.22,0.66
17-02-14,0.22,0.66
18-02-14,0.2,0.55
19-02-14,0.2,0.53
20-02-14,0.2,0.55
21-02-14,0.2,0.55
22-02-14,0.19,0.48
23-02-14,0.19,0.48
24-02-14,0.19,0.48
25-02-14,0.19,0.45
26-02-14,0.19,0.45
27-02-14,0.19,0.45
28-02-14,0.19,0.46
01-03-14,0.19,0.46
02-03-14,0.19,0.46
03-03-14,0.19,0.42
04-03-14,0.19,0.42
05-03-14,0.19,0.42
06-03-14,0.19,0.42
07-03-14,0.19,0.41
08-03-14,0.19,0.4
09-03-14,0.18,0.38
10-03-14,0.18,0.38
11-03-14,0.18,0.4
12-03-14,0.18,0.42
13-03-14,0.18,0.4
14-03-14,0.18,0.41
15-03-14,0.17,0.34
16-03-14,0.17,0.34
17-03-14,0.17,0.33
18-03-14,0.17,0.32
19-03-14,0.17,0.32
20-03-14,0.17,0.32
21-03-14,0.17,0.32
22-03-14,0.17,0.31
23-03-14,0.17,0.31
24-03-14,0.17,0.31
25-03-14,0.17,0.29
26-03-14,0.17,0.29
27-03-14,0.17,0.29
28-03-14,0.17,0.29
29-03-14,0.16,0.24
30-03-14,0.16,0.23
31-03-14,0.16,0.23
01-04-14,0.16,0.22
02-04-14,0.16,0.22
03-04-14,0.16,0.26
04-04-14,0.16,0.25
05-04-14,0.16,0.25
06-04-14,0.16,0.25
07-04-14,0.16,0.24
08-04-14,0.16,0.25
09-04-14,0.16,0.25
10-04-14,0.16,0.21
11-04-14,0.16,0.2
12-04-14,0.16,0.2
13-04-14,0.16,0.21
14-04-14,0.16,0.22
15-04-14,0.16,0.21
16-04-14,0.16,0.21
17-04-14,0.15,0.17
18-04-14,0.15,0.18
19-04-14,0.15,0.17
20-04-14,0.15,0.18
21-04-14,0.15,0.18
22-04-14,0.15,0.17
23-04-14,0.15,0.18
24-04-14,0.14,0.13
25-04-14,0.14,0.16
26-04-14,0.14,0.15
27-04-14,0.14,0.16
28-04-14,0.13,0.15
29-04-14,0.13,0.15
30-04-14,0.13,0.15
01-05-14,0.13,0.15
02-05-14,0.13,0.14
03-05-14,0.13,0.6
04-05-14,0.13,0.12
05-05-14,0.13,0.15
06-05-14,0.13,0.15
07-05-14,0.13,0.15
08-05-14,0.13,0.14
09-05-14,0.13,0.14
10-05-14,0.13,0.15
11-05-14,0.13,0.13
12-05-14,0.13,0.15
13-05-14,0.13,0.15
14-05-14,0.13,0.16
15-05-14,0.13,0.14
16-05-14,0.13,0.15
17-05-14,0.13,0.13
18-05-14,0.11,0.1
19-05-14,0.11,0.1
20-05-14,0.11,0.1
21-05-14,0.11,0.1
22-05-14,0.1,0.07
23-05-14,0.1,0.07
24-05-14,0.1,0.07
25-05-14,0.1,0.08
26-05-14,0.1,0.08
27-05-14,0.1,0.08
28-05-14,0.11,0.09
29-05-14,0.11,0.09
30-05-14,0.11,0.1
31-05-14,0.11,0.09
01-06-14,0.1,0.07
02-06-14,0.1,0.07
03-06-14,0.1,0.06
04-06-14,0.1,0.06
05-06-14,0.1,0.6
06-06-14,0.1,0.05
07-06-14,0.1,0.05
08-06-14,0.1,0.05
09-06-14,0.1,0.05
10-06-14,0.1,0.51
11-06-14,0.1,0.05
12-06-14,0.1,0.05
13-06-14,0.1,0.04
14-06-14,0.1,0.05
15-06-14,0.1,0.04
16-06-14,0.1,0.04
17-06-14,0.1,0.04
18-06-14,0.1,0.04
19-06-14,0.12,0.06
20-06-14,0.14,0.13
21-06-14,0.12,0.08
22-06-14,0.14,0.09
23-06-14,0.14,0.09
24-06-14,0.14,0.08
25-06-14,0.14,0.08
26-06-14,0.14,0.08
27-06-14,0.14,0.07
28-06-14,0.14,0.08
29-06-14,0.14,0.08
30-06-14,0.14,0.07
01-07-14,0.14,0.07
02-07-14,0.13,0.07
03-07-14,0.12,0.06
04-07-14,0.01,0.05
05-07-14,0.12,0.06
06-07-14,0.12,0.05
07-07-14,0.12,0.05
08-07-14,0.11,0.04
09-07-14,0.11,0.04
10-07-14,0.11,0.04
11-07-14,0.19,0.14
12-07-14,0.15,0.12
13-07-14,0.13,0.08
14-07-14,0.12,0.07
15-07-14,0.12,0.07
16-07-14,0.11,0.05
17-07-14,0.11,0.05
18-07-14,0.11,0.04
19-07-14,0.11,0.04
20-07-14,0.11,0.04
21-07-14,0.11,0.05
22-07-14,0.11,0.05
23-07-14,0.11,0.05
24-07-14,0.11,0.04
25-07-14,0.11,0.04
26-07-14,0.11,0.04
27-07-14,0.11,0.04
28-07-14,0.11,0.04
29-07-14,0.11,0.04
30-07-14,0.1,0.03
31-07-14,0.1,0.03
01-08-14,0.1,0.03
02-08-14,0.29,0.42
03-08-14,0.2,0.17
04-08-14,0.19,0.22
05-08-14,0.18,0.18
06-08-14,0.15,0.17
07-08-14,0.14,0.13
08-08-14,0.15,0.13
09-08-14,0.15,0.12
10-08-14,0.15,0.12
11-08-14,0.15,0.12
12-08-14,0.14,0.1
13-08-14,0.14,0.1
14-08-14,0.14,0.1
15-08-14,0.14,0.1
16-08-14,0.14,0.08
17-08-14,0.14,0.08
18-08-14,0.14,0.08
19-08-14,0.14,0.09
20-08-14,0.14,0.08
21-08-14,0.14,0.07
