Fecha, Nivel(m), Gasto(m³/s)
02-01-95,1.2,2.42
03-01-95,-,-
04-01-95,-,-
05-01-95,-,-
06-01-95,-,-
07-01-95,-,-
08-01-95,-,-
09-01-95,-,-
10-01-95,-,-
11-01-95,-,-
12-01-95,-,-
13-01-95,-,-
14-01-95,-,-
15-01-95,-,-
16-01-95,0.58,0.41
17-01-95,0.58,0.4
18-01-95,0.58,0.4
19-01-95,0.58,0.39
20-01-95,0.58,0.39
21-01-95,0.58,0.38
22-01-95,0.58,0.38
23-01-95,0.58,0.37
24-01-95,0.58,0.37
25-01-95,0.6,-
26-01-95,0.6,0.41
27-01-95,0.59,0.41
28-01-95,0.6,1.41
29-01-95,0.6,0.41
30-01-95,-,-
31-01-95,0.58,0.39
01-02-95,0.58,0.39
02-02-95,-,-
03-02-95,0.58,0.39
04-02-95,0.58,0.38
05-02-95,-,-
06-02-95,0.58,0.38
07-02-95,0.58,0.38
08-02-95,0.6,0.41
09-02-95,0.6,0.42
10-02-95,0.6,0.42
11-02-95,0.6,0.41
12-02-95,0.6,0.41
13-02-95,0.6,-
14-02-95,0.6,0.4
15-02-95,0.6,0.4
16-02-95,0.6,0.39
17-02-95,0.6,0.4
18-02-95,0.6,0.38
19-02-95,0.6,-
20-02-95,0.6,-
21-02-95,0.6,0.38
22-02-95,0.6,0.36
23-02-95,0.6,0.36
24-02-95,-,-
25-02-95,0.6,0.35
26-02-95,0.6,0.35
27-02-95,0.6,0.35
28-02-95,0.6,-
01-03-95,0.6,0.34
02-03-95,-,-
03-03-95,-,-
04-03-95,-,-
05-03-95,0.74,0.46
06-03-95,0.72,0.46
07-03-95,0.7,0.44
08-03-95,0.7,0.43
09-03-95,0.7,-
10-03-95,0.7,0.43
11-03-95,0.7,0.43
12-03-95,0.68,0.38
13-03-95,0.68,0.37
14-03-95,0.68,0.37
15-03-95,0.68,0.36
16-03-95,0.64,0.2
17-03-95,0.64,0.2
18-03-95,0.68,0.23
19-03-95,0.68,0.23
20-03-95,0.68,0.22
