Comisión Nacional del Agua
Subdirección General Técnica
Estación: La Boca
Clave: BOCNL
Estado: Nuevo León
Municipio: Santiago

Fecha, Nivel(m), Gasto(m³/s)
1994/01/01,446.42,-
1994/01/02,446.41,-
1994/01/03,446.39,-
1994/01/04,446.38,-
1994/01/05,446.36,-
1994/01/06,446.35,-
1994/01/07,446.34,-
1994/01/08,446.34,-
1994/01/09,446.29,-
1994/01/10,446.27,-
1994/01/11,-,-
1994/01/12,446.24,-
1994/01/13,446.23,-
1994/01/14,446.21,-
1994/01/15,446.20,-
1994/01/16,446.18,-
1994/01/17,446.16,-
1994/01/18,446.15,-
1994/01/19,446.15,-
1994/01/20,446.15,-
1994/01/21,446.15,-
1994/01/22,446.17,-
1994/01/23,446.31,-
1994/01/24,446.32,-
1994/01/25,446.32,-
1994/01/26,446.33,-
1994/01/27,446.34,-
1994/01/28,446.34,-
1994/01/29,446.35,-
1994/01/30,446.35,-
1994/01/31,446.36,-
1994/02/01,446.37,-
1994/02/02,446.39,-
1994/02/03,446.39,-
1994/02/04,446.40,-
1994/02/05,446.41,-
1994/02/06,446.40,-
1994/02/07,446.40,-
1994/02/08,446.38,-
1994/02/09,446.39,-
1994/02/10,446.39,-
1994/02/11,446.38,-
1994/02/12,446.41,-
1994/02/13,446.42,-
1994/02/14,446.42,-
1994/02/15,446.43,-
1994/02/16,446.43,-
1994/02/17,446.43,-
1994/02/18,446.44,-
1994/02/19,446.44,-
1994/02/20,446.43,-
1994/02/21,446.43,-
1994/02/22,446.43,-
1994/02/23,446.45,-
1994/02/24,446.45,-
1994/02/25,446.46,-
1994/02/26,446.47,-
1994/02/27,446.48,-
1994/02/28,446.49,-
1994/03/01,446.49,-
1994/03/02,446.48,-
1994/03/03,446.48,-
1994/03/04,446.49,-
1994/03/05,446.48,-
1994/03/06,446.48,-
1994/03/07,446.48,-
1994/03/08,446.49,-
1994/03/09,446.49,-
1994/03/10,446.47,-
1994/03/11,446.47,-
1994/03/12,446.46,-
1994/03/13,446.46,-
1994/03/14,446.46,-
1994/03/15,446.50,-
1994/03/16,446.50,-
1994/03/17,446.50,-
1994/03/18,446.50,-
1994/03/19,446.50,-
1994/03/20,446.50,-
1994/03/21,446.47,-
1994/03/22,446.44,-
1994/03/23,446.45,-
1994/03/24,446.45,-
1994/03/25,446.52,-
1994/03/26,446.02,-
1994/03/27,446.42,-
1994/03/28,446.37,-
1994/03/29,446.36,-
1994/03/30,446.34,-
1994/03/31,446.32,-
1994/04/01,446.30,-
1994/04/02,446.28,-
1994/04/03,446.27,-
1994/04/04,446.26,-
1994/04/05,446.25,-
1994/04/06,446.24,-
1994/04/07,446.21,-
1994/04/08,446.20,-
1994/04/09,446.18,-
1994/04/10,446.16,-
1994/04/11,446.14,-
1994/04/12,446.12,-
1994/04/13,446.10,-
1994/04/14,446.08,-
1994/04/15,446.08,-
1994/04/16,446.05,-
1994/04/17,446.03,-
1994/04/18,446.00,-
1994/04/19,445.99,-
1994/04/20,445.98,-
1994/04/21,445.97,-
1994/04/22,445.95,-
1994/04/23,445.92,-
1994/04/24,445.90,-
1994/04/25,445.88,-
1994/04/26,445.85,-
1994/04/27,445.83,-
1994/04/28,445.82,-
1994/04/29,445.80,-
1994/04/30,445.76,-
1994/05/01,445.72,-
1994/05/02,445.69,-
1994/05/03,445.67,-
1994/05/04,445.64,-
1994/05/05,445.61,-
1994/05/06,445.62,-
1994/05/07,-,-
1994/05/08,445.59,-
1994/05/09,445.57,-
1994/05/10,445.56,-
1994/05/11,445.52,-
1994/05/12,445.52,-
1994/05/13,445.49,-
1994/05/14,445.45,-
1994/05/15,445.41,-
1994/05/16,445.36,-
1994/05/17,445.34,-
1994/05/18,445.31,-
1994/05/19,445.28,-
1994/05/20,445.25,-
1994/05/21,445.23,-
1994/05/22,445.19,-
1994/05/23,445.16,-
1994/05/24,445.14,-
1994/05/25,445.11,-
1994/05/26,445.09,-
1994/05/27,445.06,-
1994/05/28,445.05,-
1994/05/29,445.02,-
1994/05/30,445.00,-
1994/05/31,444.97,-
1994/06/01,444.94,-
1994/06/02,444.90,-
1994/06/03,444.89,-
1994/06/04,444.86,-
1994/06/05,444.83,-
1994/06/06,444.80,-
1994/06/07,444.77,-
1994/06/08,444.74,-
1994/06/09,444.72,-
1994/06/10,444.70,-
1994/06/11,444.77,-
1994/06/12,444.78,-
1994/06/13,444.79,-
1994/06/14,-,-
1994/06/15,444.72,-
1994/06/16,444.72,-
1994/06/17,444.70,-
1994/06/18,444.68,-
1994/06/19,444.71,-
1994/06/20,444.70,-
1994/06/21,444.68,-
1994/06/22,444.65,-
1994/06/23,444.64,-
1994/06/24,444.62,-
1994/06/25,444.60,-
1994/06/26,444.50,-
1994/06/27,444.55,-
1994/06/28,444.53,-
1994/06/29,444.50,-
1994/06/30,444.46,-
1994/07/01,444.43,-
1994/07/02,444.40,-
1994/07/03,444.36,-
1994/07/04,444.34,-
1994/07/05,444.34,-
1994/07/06,444.30,-
1994/07/07,444.26,-
1994/07/08,444.22,-
1994/07/09,444.20,-
1994/07/10,444.16,-
1994/07/11,444.15,-
1994/07/12,444.12,-
1994/07/13,444.09,-
1994/07/14,444.03,-
1994/07/15,444.00,-
1994/07/16,443.97,-
1994/07/17,443.94,-
1994/07/18,443.91,-
1994/07/19,443.88,-
1994/07/20,443.84,-
1994/07/21,443.80,-
1994/07/22,443.74,-
1994/07/23,443.74,-
1994/07/24,443.67,-
1994/07/25,443.61,-
1994/07/26,443.59,-
1994/07/27,443.56,-
1994/07/28,443.52,-
1994/07/29,443.50,-
1994/07/30,443.52,-
1994/07/31,443.49,-
1994/08/01,443.47,-
1994/08/02,443.44,-
1994/08/03,443.40,-
1994/08/04,443.41,-
1994/08/05,443.54,-
1994/08/06,443.60,-
1994/08/07,443.59,-
1994/08/08,443.56,-
1994/08/09,443.54,-
1994/08/10,443.57,-
1994/08/11,443.53,-
1994/08/12,443.54,-
1994/08/13,443.51,-
1994/08/14,443.47,-
1994/08/15,443.44,-
1994/08/16,443.44,-
1994/08/17,443.42,-
1994/08/18,443.40,-
1994/08/19,443.34,-
1994/08/20,443.30,-
1994/08/21,443.16,-
1994/08/22,443.24,-
1994/08/23,443.20,-
1994/08/24,443.17,-
1994/08/25,443.14,-
1994/08/26,443.12,-
1994/08/27,443.10,-
1994/08/28,443.05,-
1994/08/29,443.02,-
1994/08/30,442.98,-
1994/08/31,443.10,-
1994/09/01,443.20,-
1994/09/02,443.52,-
1994/09/03,443.69,-
1994/09/04,443.72,-
1994/09/05,443.74,-
1994/09/06,443.74,-
1994/09/07,443.75,-
1994/09/08,443.74,-
1994/09/09,443.74,-
1994/09/10,443.70,-
1994/09/11,443.75,-
1994/09/12,443.78,-
1994/09/13,443.83,-
1994/09/14,443.82,-
1994/09/15,443.82,-
1994/09/16,443.81,-
1994/09/17,444.44,-
1994/09/18,444.83,-
1994/09/19,445.04,-
1994/09/20,445.10,-
1994/09/21,445.18,-
1994/09/22,445.24,-
1994/09/23,445.28,-
1994/09/24,445.31,-
1994/09/25,445.33,-
1994/09/26,445.36,-
1994/09/27,445.36,-
1994/09/28,445.38,-
1994/09/29,445.40,-
1994/09/30,445.40,-
1994/10/01,445.40,-
1994/10/02,445.41,-
1994/10/03,445.41,-
1994/10/04,445.41,-
1994/10/05,445.49,-
1994/10/06,445.49,-
1994/10/07,445.31,-
1994/10/08,445.50,-
1994/10/09,445.52,-
1994/10/10,445.52,-
1994/10/11,445.52,-
1994/10/12,445.52,-
1994/10/13,445.51,-
1994/10/14,445.52,-
1994/10/15,445.52,-
1994/10/16,445.52,-
1994/10/17,445.51,-
1994/10/18,445.51,-
1994/10/19,445.51,-
1994/10/20,445.51,-
1994/10/21,445.81,-
1994/10/22,445.51,-
1994/10/23,445.51,-
1994/10/24,445.51,-
1994/10/25,445.50,-
1994/10/26,445.50,-
1994/10/27,445.61,-
1994/10/28,445.51,-
1994/10/29,445.50,-
1994/10/30,445.50,-
1994/10/31,445.50,-
1994/11/01,445.50,-
1994/11/02,445.49,-
1994/11/03,445.49,-
1994/11/04,445.47,-
1994/11/05,445.47,-
1994/11/06,445.46,-
1994/11/07,445.46,-
1994/11/08,445.44,-
1994/11/09,445.44,-
1994/11/10,445.43,-
1994/11/11,-,-
1994/11/12,445.42,-
1994/11/13,445.41,-
1994/11/14,445.40,-
1994/11/15,445.39,-
1994/11/16,445.39,-
1994/11/17,445.38,-
1994/11/18,445.37,-
1994/11/19,445.37,-
1994/11/20,445.30,-
1994/11/21,445.36,-
1994/11/22,445.33,-
1994/11/23,445.34,-
1994/11/24,445.35,-
1994/11/25,445.36,-
1994/11/26,445.34,-
1994/11/27,445.34,-
1994/11/28,445.34,-
1994/11/29,445.33,-
1994/11/30,445.34,-
1994/12/01,445.31,-
1994/12/02,445.26,-
1994/12/03,445.20,-
1994/12/04,445.16,-
1994/12/05,445.13,-
1994/12/06,445.08,-
1994/12/07,445.04,-
1994/12/08,445.00,-
1994/12/09,444.96,-
1994/12/10,444.93,-
1994/12/11,444.86,-
1994/12/12,444.81,-
1994/12/13,444.77,-
1994/12/14,444.72,-
1994/12/15,444.67,-
1994/12/16,444.63,-
1994/12/17,444.58,-
