Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,Puntaje_v3
@Cicmty,CIC,"Jun 21, 2024 · 9:38 PM UTC",cuidadodelagua sin suministro de agua en la colonia bosques de la huasteca santacatarina vía nessspartan cc aydmonterrey,3,0,1,0,https://twitter.com/Cicmty/status/1804267614073499945#m,,,,eléctrico,-0.8150661587715149,-1.033505231142044
@Cicmty,CIC,"Jun 21, 2024 · 9:32 PM UTC",cuidadodelagua servicio de agua con aspecto turbio en la colonia vista hermosa monterrey vía carmengina cc aydmonterrey,10,0,4,0,https://twitter.com/Cicmty/status/1804266230666207353#m,['https://pbs.twimg.com/media/GQoKbKcX0AAySZF.jpg'],,,eléctrico,0.8081109374761581,-1.0125160664319992
@Cicmty,CIC,"Jun 21, 2024 · 9:30 PM UTC",cuidadodelagua fuga de agua limpia en un domicilio en olmos entre av potrero de anáhuac y encinos col potrero anáhuac sannicolás vía enriquemgo cc aydmonterrey kmgn,1,0,0,0,https://twitter.com/Cicmty/status/1804265702800736423#m,,,,no se relaciona,-0.6248129308223724,-1.0135060250759125
@Cicmty,CIC,"Jun 21, 2024 · 8:58 PM UTC",cuidadodelagua sin suministro de agua en la colonia satélite acueducto monterrey vía berthisvaldez cc aydmonterrey,3,0,2,0,https://twitter.com/Cicmty/status/1804257595353362888#m,,,,eléctrico,-0.6943379044532776,-1.0295536369085312
@Cicmty,CIC,"Jun 21, 2024 · 8:11 PM UTC",cuidadodelagua sin suministro de agua en la colonia arboledas de la silla guadalupe vía marcoitnl cc aydmonterrey,1,0,0,0,https://twitter.com/Cicmty/status/1804245867034976563#m,,,,eléctrico,-0.9140684753656388,-1.0337405055761337
@Cicmty,CIC,"Jun 21, 2024 · 7:04 PM UTC",cuidadodelagua sin suministro de agua en la colonia villas del mirador santacatarina vía dm cc aydmonterrey,0,0,0,0,https://twitter.com/Cicmty/status/1804229025189048795#m,,,,eléctrico,-0.8675412312150002,-1.028811052441597
@conagua_mx,Conagua,"Jun 21, 2024 · 9:44 PM UTC",comunicado por temporal de lluvias y nueva bajapresión en el golfodeméxico se emite llamado a extremar medidas de prevención más información en,10,6,0,0,https://twitter.com/conagua_mx/status/1804269219258765732#m,['https://pbs.twimg.com/media/GQoNLy8XYAAyfCm.jpg'],,,lluvia,-1.2947891056537628,-1.385720668360591
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:05 PM UTC",luego de las lluvias torrenciales registradas en campeche se apoya a la población de las zonas bajas inundadas además se bombea agua sobre la autopista champotóncampeche en el cruce del arroyo siho,9,3,1,0,https://twitter.com/ConaguaCampeche/status/1804183798298361917#m,['https://pbs.twimg.com/media/GQm_mpPX0AIf-bc.jpg'],,,inundación,0.6001579910516739,-1.3957410659641027
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:04 PM UTC",conagua mediante las brigadas piae implementa un operativo de desalojo de agua en la localidad de villa madero en el municipio de seybaplaya campeche,9,4,1,0,https://twitter.com/ConaguaCampeche/status/1804183739242602890#m,['https://pbs.twimg.com/media/GQm_jG9XoAAMBfn.jpg'],,,no se relaciona,0.5699143782258034,-1.7517854068428278
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 2:58 PM UTC",un canal de bajapresión en la sierra madre occidental y centro de provocará lluvias torrenciales en gro oax pue y ver intensas en camp tamps chis col hgo jal mich qroo slp tab y yuc muy fuertes en edomex gto mor nay nl qro y tlax,55,22,1,2,https://twitter.com/GermanMSantoyo/status/1804166978799563137#m,['https://pbs.twimg.com/media/GQmvCSjXYAEASjW.jpg'],,,lluvia,-0.9082195162773132,-1.3818530905991793
@conagua_mx,Conagua,"Jun 21, 2024 · 2:07 PM UTC",se prevén lluvias puntuales torrenciales en guerrero oaxaca puebla y veracruz en las próximas horas más información en,20,5,0,1,https://twitter.com/conagua_mx/status/1804154097269887474#m,['https://pbs.twimg.com/media/GQmkl1WWIAA63nl.jpg'],,,lluvia,-0.4300583451986313,-1.3905547074973583
