Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,municipio,colonia,calle,locacion,GPE,facilidad,geometría,Puntaje_diferencia_0.05
@Cicmty,CIC,"Jun 21, 2024 · 9:38 PM UTC",cuidadodelagua sin suministro de agua en la colonia bosques de la huasteca santacatarina vía nessspartan cc aydmonterrey,3,0,1,0,https://twitter.com/Cicmty/status/1804267614073499945#m,,,,eléctrico,-0.8150661587715149,[],BOSQUES DE LA HUASTECA,[],[],[],[],"POLYGON Z ((-100.45159000017821 25.66127000001063 0, -100.4517100003161 25.660819999943214 0, -100.4517500003621 25.66055999964442 0, -100.45179000040804 25.66024000017603 0, -100.45235999971408 25.660100000015177 0, -100.45259999998984 25.660050000407352 0, -100.4528200002427 25.659990000338382 0, -100.45298000042652 25.659939999831295 0, -100.45325000028714 25.6598700002005 0, -100.45319999978 25.661279999572514 0, -100.4531700001952 25.661680000032163 0, -100.45272999968961 25.661700000055134 0, -100.45229000008328 25.661720000078105 0, -100.4514900000633 25.6617899997089 0, -100.45149999962513 25.66145999977931 0, -100.45155000013227 25.6613599996644 0, -100.45159000017821 25.66127000001063 0))",-1.033505231142044
@Cicmty,CIC,"Jun 21, 2024 · 9:32 PM UTC",cuidadodelagua servicio de agua con aspecto turbio en la colonia vista hermosa monterrey vía carmengina cc aydmonterrey,10,0,4,0,https://twitter.com/Cicmty/status/1804266230666207353#m,['https://pbs.twimg.com/media/GQoKbKcX0AAySZF.jpg'],,,eléctrico,0.8081109374761581,Monterrey,VISTA HERMOSA,[],[],[],[],"POLYGON Z ((-100.37142999979449 25.701470000340407 0, -100.37121000044101 25.70137999978732 0, -100.37046000002886 25.700949999742875 0, -100.3698499997775 25.70063000027443 0, -100.36976000012373 25.700590000228487 0, -100.36822999971457 25.699759999724392 0, -100.36717999985694 25.69922000000315 0, -100.36660999965159 25.698899999635444 0, -100.3662900001832 25.699400000210005 0, -100.36621000009126 25.699670000070626 0, -100.36623000011429 25.70030999990672 0, -100.36615999958417 25.700789999558992 0, -100.36596000025366 25.701120000387846 0, -100.36574000000087 25.70135999976435 0, -100.36549999972505 25.70121999960344 0, -100.36553000020922 25.701270000110583 0, -100.36580999963161 25.701569999556 0, -100.36582999965464 25.70162999962497 0, -100.36561999986293 25.701499999925204 0, -100.36495000044204 25.701120000387846 0, -100.36434000019068 25.700800000020138 0, -100.36300000044952 25.700089999653926 0, -100.36290999989643 25.7000400000461 0, -100.36270000010478 25.699930000369363 0, -100.36253000035907 25.699839999816277 0, -100.36241999978301 25.699779999747363 0, -100.36221999955319 25.699670000070626 0, -100.36214000036057 25.699630000024626 0, -100.36071000006632 25.6988599995895 0, -100.36046000022867 25.698729999889736 0, -100.35987000000034 25.698419999983173 0, -100.3597600003236 25.698359999914203 0, -100.35964000018572 25.698290000283464 0, -100.35952999960966 25.69823999977632 0, -100.35933999984098 25.698139999661407 0, -100.35763000012423 25.697240000425836 0, -100.3575200004475 25.697180000356923 0, -100.35750000042452 25.697260000448807 0, -100.35750000042452 25.697350000102574 0, -100.35757000005532 25.69743999975634 0, -100.35728999973355 25.69727999957246 0, -100.35726000014876 25.69729000003366 0, -100.35720999964161 25.697299999595486 0, -100.35716000003384 25.697299999595486 0, -100.35711999998784 25.69729000003366 0, -100.35709000040305 25.697270000010633 0, -100.3570500003571 25.69722999996469 0, -100.3570399998959 25.69716999989572 0, -100.3570399998959 25.69710000026498 0, -100.3570500003571 25.697060000218983 0, -100.35691999975802 25.697029999734866 0, -100.35687000015025 25.697029999734866 0, -100.35521999960315 25.696969999665896 0, -100.35486999965059 25.696969999665896 0, -100.35441000002135 25.69681000038139 0, -100.35457999976705 25.69681000038139 0, -100.35525999964909 25.696839999966187 0, -100.3552700001103 25.696209999691916 0, -100.35529000013327 25.695589999878734 0, -100.35529000013327 25.694930000019667 0, -100.35531999971806 25.69427999972237 0, -100.35504999985744 25.694290000183514 0, -100.35463999983597 25.694290000183514 0, -100.35453999972106 25.69427999972237 0, -100.35356000039354 25.694239999676427 0, -100.35289000007327 25.694239999676427 0, -100.35196000035359 25.694250000137572 0, -100.35178999970856 25.6942199996534 0, -100.35166000000885 25.694190000068602 0, -100.35153000030914 25.694139999561514 0, -100.35137000012526 25.694080000391864 0, -100.3514100001712 25.692910000396353 0, -100.3514500002172 25.692300000145053 0, -100.351479999802 25.691879999662433 0, -100.35149000026314 25.691680000331928 0, -100.35157000035508 25.690780000197037 0, -100.35161000040102 25.690250000037622 0, -100.35166000000885 25.689300000294963 0, -100.35153999987097 25.689300000294963 0, -100.35157999991691 25.688649999997665 0, -100.35161000040102 25.688190000368365 0, -100.35161000040102 25.687930000069628 0, -100.3516199999629 25.687809999931744 0, -100.35163000042405 25.68768000023198 0, -100.35165000044702 25.68741999993324 0, -100.35172999963964 25.68598000007711 0, -100.35174999966262 25.685619999663402 0, -100.3518699998005 25.683709999716882 0, -100.35200000039953 25.683720000178027 0, -100.35217999970706 25.68366999967094 0, -100.3522300002142 25.683780000246998 0, -100.35231000030615 25.683849999877737 0, -100.35252999965962 25.683940000430823 0, -100.35278999995836 25.68394999999265 0, -100.35305000025716 25.683929999969678 0, -100.35328000007178 25.68388000036191 0, -100.35348999986343 25.68380000026997 0, -100.35369999965513 25.683680000132085 0, -100.35418000020667 25.683330000179524 0, -100.3558800003616 25.682089999653954 0, -100.35595999955416 25.682169999745838 0, -100.35599999960016 25.68224999983778 0, -100.35601999962313 25.682340000390866 0, -100.3560100000613 25.683640000086086 0, -100.35594000043051 25.683649999647912 0, -100.35588999992342 25.68368999969391 0, -100.35586000033862 25.683749999762824 0, -100.35586000033862 25.68382000029294 0, -100.35590000038457 25.683869999900764 0, -100.35594999999233 25.683909999946707 0, -100.35625000033707 25.68414800013028 0, -100.3567970003811 25.684364000198627 0, -100.35654000022066 25.684739999551482 0, -100.35648200024394 25.685175999872683 0, -100.3566849997128 25.68574399998579 0, -100.35697699968864 25.686047999615653 0, -100.35798200016905 25.68653400044394 0, -100.35886999975054 25.686769999635942 0, -100.35927000021019 25.687049999957708 0, -100.35952999960966 25.6872999997953 0, -100.35976999988543 25.68748999956398 0, -100.36017000034508 25.687660000209007 0, -100.36042000018273 25.68778000034689 0, -100.36077999969706 25.688019999723394 0, -100.36130999985647 25.688289999583958 0, -100.36194000013074 25.68850999983681 0, -100.36214000036057 25.68926999981079 0, -100.36371500014701 25.691370000425366 0, -100.36775999962413 25.696340000290945 0, -100.36844999996737 25.697180000356923 0, -100.36894999964261 25.697660000009137 0, -100.36970999961665 25.698620000212998 0, -100.37000999996138 25.69899000018853 0, -100.37046000002886 25.699440000255947 0, -100.3711100003261 25.699990000438333 0, -100.3712800000718 25.700380000436837 0, -100.37136999972557 25.700639999836312 0, -100.37142999979449 25.700949999742875 0, -100.37146000027866 25.701199999580467 0, -100.37144999981751 25.701370000225495 0, -100.37142999979449 25.701470000340407 0))",-1.0125160664319992
@Cicmty,CIC,"Jun 21, 2024 · 9:30 PM UTC",cuidadodelagua fuga de agua limpia en un domicilio en olmos entre av potrero de anáhuac y encinos col potrero anáhuac sannicolás vía enriquemgo cc aydmonterrey kmgn,1,0,0,0,https://twitter.com/Cicmty/status/1804265702800736423#m,,,,no se relaciona,-0.6248129308223724,San Nicolás,POTRERO ANAHUAC,,[],[],[],"POLYGON Z ((-100.29562999992442 25.735830000254452 0, -100.29624999973754 25.736789999558994 0, -100.29716000033358 25.738170000245475 0, -100.2969899996886 25.738480000152038 0, -100.29659000012828 25.739409999871782 0, -100.29685000042701 25.73959000007858 0, -100.29669999980501 25.7398599999392 0, -100.2965300000593 25.740060000169024 0, -100.29632999982948 25.74022999991473 0, -100.29603000038406 25.740439999706382 0, -100.29527999997185 25.740940000280943 0, -100.29501000011129 25.741119999588477 0, -100.2949000004345 25.74084000016603 0, -100.29464000013576 25.73996000005411 0, -100.29443000034411 25.73959999964046 0, -100.29423999967611 25.739300000195044 0, -100.29396000025366 25.73891000019654 0, -100.29374999956269 25.73858000026695 0, -100.29355000023219 25.738250000337416 0, -100.29335000000236 25.737929999969708 0, -100.29314000021071 25.737600000040118 0, -100.29293000041906 25.737270000110584 0, -100.29269999970506 25.73690000013505 0, -100.29437999983696 25.735910000346394 0, -100.29527000041003 25.735449999817774 0, -100.29548000020168 25.735569999955715 0, -100.29562999992442 25.735830000254452 0))",-1.0135060250759125
@Cicmty,CIC,"Jun 21, 2024 · 8:58 PM UTC",cuidadodelagua sin suministro de agua en la colonia satélite acueducto monterrey vía berthisvaldez cc aydmonterrey,3,0,2,0,https://twitter.com/Cicmty/status/1804257595353362888#m,,,,eléctrico,-0.6943379044532776,[],,[],[],[],[],,-1.0295536369085312
@Cicmty,CIC,"Jun 21, 2024 · 8:11 PM UTC",cuidadodelagua sin suministro de agua en la colonia arboledas de la silla guadalupe vía marcoitnl cc aydmonterrey,1,0,0,0,https://twitter.com/Cicmty/status/1804245867034976563#m,,,,eléctrico,-0.9140684753656388,,,[],[],[],[],,-1.0337405055761337
@Cicmty,CIC,"Jun 21, 2024 · 7:04 PM UTC",cuidadodelagua sin suministro de agua en la colonia villas del mirador santacatarina vía dm cc aydmonterrey,0,0,0,0,https://twitter.com/Cicmty/status/1804229025189048795#m,,,,eléctrico,-0.8675412312150002,[],FRACC VILLAS DEL MIRADOR,[],[],[],[],"POLYGON Z ((-100.44414000016076 25.69259999959047 0, -100.44397000041505 25.69295000044235 0, -100.44377000018522 25.693280000371885 0, -100.44348000030163 25.693780000047127 0, -100.44342999979449 25.693869999700894 0, -100.4437900002082 25.694049999907747 0, -100.4439199999079 25.695830000154558 0, -100.44436999997538 25.69603999994621 0, -100.44478999955868 25.696240000176033 0, -100.44475000041206 25.69667000022048 0, -100.44467999988194 25.696819999943216 0, -100.44426000029864 25.69661999971339 0, -100.44342999979449 25.696220000153062 0, -100.44276999993542 25.69593000026947 0, -100.44225000023715 25.69568000043182 0, -100.44139999971009 25.695270000410346 0, -100.44116999989541 25.69515999983429 0, -100.44071000026617 25.694930000019667 0, -100.44034999985246 25.694749999812814 0, -100.4396200003626 25.694390000298426 0, -100.44018999966858 25.693430000094565 0, -100.44044000040554 25.692989999588974 0, -100.4411099998265 25.691819999593463 0, -100.44131000005632 25.691480000102104 0, -100.44147999980203 25.691199999780338 0, -100.44168999959368 25.690829999804805 0, -100.44244000000583 25.691179999757367 0, -100.44256000014371 25.69123999982628 0, -100.4427499999124 25.69131999991822 0, -100.44305999981901 25.691480000102104 0, -100.44328999963363 25.691580000217016 0, -100.44338999974855 25.691629999824784 0, -100.44367999963214 25.691790000008666 0, -100.44402999958464 25.691919999708375 0, -100.44434000039058 25.692059999869286 0, -100.44469999990491 25.69226000009911 0, -100.44445000006732 25.692759999774353 0, -100.44414000016076 25.69259999959047 0))",-1.028811052441597
@conagua_mx,Conagua,"Jun 21, 2024 · 9:44 PM UTC",comunicado por temporal de lluvias y nueva bajapresión en el golfodeméxico se emite llamado a extremar medidas de prevención más información en,10,6,0,0,https://twitter.com/conagua_mx/status/1804269219258765732#m,['https://pbs.twimg.com/media/GQoNLy8XYAAyfCm.jpg'],,,lluvia,-1.2947891056537628,[],[],[],[],[],[],,-1.385720668360591
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:05 PM UTC",luego de las lluvias torrenciales registradas en campeche se apoya a la población de las zonas bajas inundadas además se bombea agua sobre la autopista champotóncampeche en el cruce del arroyo siho,9,3,1,0,https://twitter.com/ConaguaCampeche/status/1804183798298361917#m,['https://pbs.twimg.com/media/GQm_mpPX0AIf-bc.jpg'],,,inundación,0.6001579910516739,[],[],[],[],[],[],,-1.3957410659641027
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:04 PM UTC",conagua mediante las brigadas piae implementa un operativo de desalojo de agua en la localidad de villa madero en el municipio de seybaplaya campeche,9,4,1,0,https://twitter.com/ConaguaCampeche/status/1804183739242602890#m,['https://pbs.twimg.com/media/GQm_jG9XoAAMBfn.jpg'],,,no se relaciona,0.5699143782258034,[],[],[],[],[],[],,-1.7517854068428278
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 2:58 PM UTC",un canal de bajapresión en la sierra madre occidental y centro de provocará lluvias torrenciales en gro oax pue y ver intensas en camp tamps chis col hgo jal mich qroo slp tab y yuc muy fuertes en edomex gto mor nay nl qro y tlax,55,22,1,2,https://twitter.com/GermanMSantoyo/status/1804166978799563137#m,['https://pbs.twimg.com/media/GQmvCSjXYAEASjW.jpg'],,,lluvia,-0.9082195162773132,,,Calle Sierra Madre,[],['mor'],[],,-1.3818530905991793
