calle,colonia,geometry,municipio
Paseo Santa Lucía,MANUEL VILLARREAL,"POLYGON Z ((-100.18157999971709 25.785799999670417 0, -100.18110000006482 25.784999999650438 0, -100.18157999971709 25.784780000296962 0, -100.18206000026862 25.78556000029397 0, -100.18157999971709 25.785799999670417 0))",Apodaca
Paseo Río Santa Lucía,MODERNO APODACA,"POLYGON Z ((-100.18181999999285 25.7796100002015 0, -100.18140000040955 25.77984000001618 0, -100.18095000034208 25.78004999980783 0, -100.18050000027466 25.78025999959948 0, -100.18011999983798 25.780479999852275 0, -100.17976999988542 25.780640000036158 0, -100.1787600000738 25.7811399997114 0, -100.17785000037708 25.779619999763327 0, -100.17777999984696 25.779479999602472 0, -100.17771999977799 25.77938000038688 0, -100.17765999970908 25.779269999810822 0, -100.17847999975203 25.77897999992723 0, -100.17945999997886 25.778640000435814 0, -100.18013000029913 25.778409999721873 0, -100.18208999985347 25.77780999993172 0, -100.18255000038204 25.777689999793836 0, -100.18352000014772 25.777419999933215 0, -100.18407000033011 25.77727000021048 0, -100.18422000005279 25.77717999965745 0, -100.18459000002832 25.777020000372886 0, -100.18504999965762 25.776789999658945 0, -100.1851699997955 25.776700000005178 0, -100.18567000037007 25.776330000029645 0, -100.18580000006978 25.776330000029645 0, -100.18586000013875 25.776350000052616 0, -100.18590999974651 25.776289999983703 0, -100.18602999988445 25.776370000075588 0, -100.18602999988445 25.776439999706383 0, -100.18613999956119 25.776639999936208 0, -100.18651999999787 25.77719999968042 0, -100.18674000025067 25.777580000117098 0, -100.18697000006529 25.77793999963143 0, -100.18748000020167 25.778750000112552 0, -100.18662000011278 25.779180000157055 0, -100.1857800000468 25.7796100002015 0, -100.18489000037306 25.780060000268975 0, -100.18407999989194 25.780479999852275 0, -100.18385999963914 25.78008999985377 0, -100.18362000026264 25.779690000293442 0, -100.18315999973407 25.778930000319406 0, -100.18272000012774 25.77916999969591 0, -100.18225999959913 25.779389999948705 0, -100.18181999999285 25.7796100002015 0))",Monterrey
Calle Valentín Gómez Farías,MODERNO APODACA 2DO SECT,"POLYGON Z ((-100.18140000040955 25.77984000001618 0, -100.18181999999285 25.7796100002015 0, -100.18225999959913 25.779389999948705 0, -100.18272000012774 25.77916999969591 0, -100.18315999973407 25.778930000319406 0, -100.18362000026264 25.779690000293442 0, -100.18385999963914 25.78008999985377 0, -100.18407999989194 25.780479999852275 0, -100.18321000024116 25.78092999991975 0, -100.1823199996681 25.78137000042534 0, -100.18143999955618 25.781799999570467 0, -100.18108000004185 25.781990000238466 0, -100.18071000006631 25.782159999984174 0, -100.17970000025468 25.782679999682387 0, -100.17923999972606 25.781939999731378 0, -100.1787600000738 25.7811399997114 0, -100.17976999988542 25.780640000036158 0, -100.18011999983798 25.780479999852275 0, -100.18050000027466 25.78025999959948 0, -100.18095000034208 25.78004999980783 0, -100.18140000040955 25.77984000001618 0))",Escobedo
Calle Francisco Javier Mina,NUEVO APODACA,"POLYGON Z ((-100.17927000021018 25.790200000230016 0, -100.17952000004783 25.789739999701396 0, -100.17970999981651 25.789420000233008 0, -100.18145999957915 25.789560000393863 0, -100.18145999957915 25.789509999886775 0, -100.18163000022417 25.78850000007509 0, -100.18194999969256 25.788460000029147 0, -100.18204000024565 25.788410000421322 0, -100.18274999971254 25.788299999845265 0, -100.18313999971105 25.788110000076585 0, -100.18323999982596 25.78817999970738 0, -100.18325000028716 25.78829000028344 0, -100.18327999987196 25.788509999636915 0, -100.18327999987196 25.788640000236 0, -100.18327999987196 25.789090000303418 0, -100.1847500002122 25.789289999633922 0, -100.18491000039603 25.788839999566505 0, -100.18514000021071 25.788219999753323 0, -100.18530999995636 25.78780999973185 0, -100.18551000018618 25.787310000056607 0, -100.18569999995486 25.786770000335423 0, -100.18594000023069 25.78667000022051 0, -100.18660000008981 25.78634000029092 0, -100.18744000015573 25.785910000246474 0, -100.18824999973754 25.785469999740883 0, -100.18912999984946 25.785050000157526 0, -100.1895999999399 25.785810000131562 0, -100.18978999970858 25.78616999964595 0, -100.19007999959217 25.786579999667424 0, -100.19119999997986 25.788469999590973 0, -100.19132000011774 25.788629999774855 0, -100.191019999773 25.788870000050622 0, -100.19068999984347 25.788970000165534 0, -100.190430000444 25.789179999957184 0, -100.18990999984646 25.789619999563513 0, -100.18768999999338 25.79170000015506 0, -100.18760000033961 25.79184999987774 0, -100.187139999811 25.79225000033739 0, -100.18695999960414 25.792360000014128 0, -100.18682999990443 25.79250000017504 0, -100.18656999960564 25.792739999551486 0, -100.1857800000468 25.793489999963697 0, -100.1856500003471 25.793639999686377 0, -100.18553999977104 25.793550000032667 0, -100.18426999966061 25.79472000002812 0, -100.18276000017374 25.79646000022899 0, -100.18237999973707 25.796930000319435 0, -100.18093999988093 25.79638000013705 0, -100.17837000007529 25.795419999933188 0, -100.17644999966762 25.794690000443325 0, -100.17652999975951 25.79455000028247 0, -100.17658999982848 25.794209999891734 0, -100.17666999992042 25.793960000054142 0, -100.1767900000583 25.79375000026249 0, -100.17699999984995 25.793449999917755 0, -100.17746000037857 25.79277000003566 0, -100.17777999984696 25.792360000014128 0, -100.17826000039855 25.791689999693915 0, -100.17919999968007 25.7902800003219 0, -100.17927000021018 25.790200000230016 0))",San Nicolás
Calle Nueva Inglaterra,PARQUE INDUSTRIAL QUADRUM,"POLYGON Z ((-100.20096999996537 25.77409999971536 0, -100.20049999987492 25.77421000029142 0, -100.20057000040504 25.773880000361885 0, -100.20055999994389 25.773709999716857 0, -100.20062000001286 25.77327999967241 0, -100.20059999998983 25.77290999969688 0, -100.20045000026715 25.772309999906724 0, -100.20018000040653 25.771890000323424 0, -100.20000000019968 25.771619999563484 0, -100.19977000038506 25.771139999911213 0, -100.19871000006628 25.768260000199007 0, -100.19862000041252 25.768079999992153 0, -100.19854999988246 25.76781000013159 0, -100.19864999999737 25.767739999601474 0, -100.20062999957469 25.766299999745343 0, -100.20101999957319 25.76602999988478 0, -100.20398000027666 25.76399999980032 0, -100.20517999985697 25.76315999973434 0, -100.20534999960267 25.763030000034632 0, -100.20698000012675 25.76192000010809 0, -100.2074500002172 25.762499999875274 0, -100.20813000009929 25.763290000333427 0, -100.20872000032762 25.763970000215522 0, -100.21153999997085 25.766990000088583 0, -100.21180999983147 25.767279999972175 0, -100.21254999978254 25.768079999992153 0, -100.21303000033407 25.76863000017454 0, -100.21314999957269 25.76875999987425 0, -100.21258999982848 25.76918000035687 0, -100.21199999960015 25.769599999940226 0, -100.21139999981 25.770040000445817 0, -100.21104000029561 25.770299999845292 0, -100.21065999985893 25.770569999705913 0, -100.21004000004581 25.770859999589447 0, -100.20856999970556 25.771400000210008 0, -100.2071600003336 25.77171000011657 0, -100.20673999985098 25.77181999979331 0, -100.20630000024465 25.77181999979331 0, -100.205899999785 25.77179000020851 0, -100.20540999967159 25.771779999747366 0, -100.20417999960716 25.771799999770337 0, -100.20343000009427 25.771939999931192 0, -100.20271000016623 25.772289999883753 0, -100.20228000012173 25.772659999859286 0, -100.20189000012329 25.77298999978882 0, -100.2016899998934 25.773299999695382 0, -100.20096999996537 25.77409999971536 0))",Santiago
Avenida Adolfo Ruíz Cortines,SAN FRANCISCO,"POLYGON Z ((-100.18288999987345 25.784120000437838 0, -100.18337999998687 25.784900000434845 0, -100.18290999989642 25.78511999978832 0, -100.18249999987495 25.785349999602943 0, -100.18200999976153 25.784549999582964 0, -100.18243000024415 25.784339999791314 0, -100.18288999987345 25.784120000437838 0))",San Pedro Garza García
"['Avenida Doctor José Eleuterio González', 'Avenida Fidel Velázquez']",SANTA ROSA 2DO SECT,"POLYGON Z ((-100.19095999970409 25.78614999962292 0, -100.19007999959217 25.786579999667424 0, -100.18978999970858 25.78616999964595 0, -100.1895999999399 25.785810000131562 0, -100.18912999984946 25.785050000157526 0, -100.1899899999384 25.78462000011308 0, -100.19083999956615 25.784170000045606 0, -100.1915000003246 25.78501999967341 0, -100.19171999967807 25.785340000041117 0, -100.19197999997687 25.785640000385854 0, -100.19095999970409 25.78614999962292 0))",Santa Catarina
Calle Reforma,APODACA CENTRO,"POLYGON Z ((-100.19477999959713 25.782200000030116 0, -100.19470000040457 25.78222999961497 0, -100.19427999992189 25.782469999890736 0, -100.19407999969206 25.782560000443823 0, -100.19339000024814 25.78287999991221 0, -100.1925700002052 25.783289999933743 0, -100.1916999996551 25.78371999997819 0, -100.19083999956615 25.784170000045606 0, -100.1899899999384 25.78462000011308 0, -100.18912999984946 25.785050000157526 0, -100.18824999973754 25.785469999740883 0, -100.18744000015573 25.785910000246474 0, -100.18660000008981 25.78634000029092 0, -100.18594000023069 25.78667000022051 0, -100.18569999995486 25.786770000335423 0, -100.18489999993488 25.787180000356898 0, -100.18483999986597 25.787209999941695 0, -100.18442999984444 25.787399999710374 0, -100.18413000039902 25.78753000030946 0, -100.18409000035308 25.78755000033243 0, -100.18366999987046 25.787780000147052 0, -100.18313999971105 25.788110000076585 0, -100.18272000012774 25.7875700003554 0, -100.18262999957466 25.787439999756373 0, -100.18259000042804 25.787379999687403 0, -100.18204000024565 25.786579999667424 0, -100.18157999971709 25.785799999670417 0, -100.18206000026862 25.78556000029397 0, -100.18157999971709 25.784780000296962 0, -100.18110000006482 25.784999999650438 0, -100.17970000025468 25.782679999682387 0, -100.18071000006631 25.782159999984174 0, -100.18108000004185 25.781990000238466 0, -100.18143999955618 25.781799999570467 0, -100.1823199996681 25.78137000042534 0, -100.18321000024116 25.78092999991975 0, -100.18407999989194 25.780479999852275 0, -100.18489000037306 25.780060000268975 0, -100.1857800000468 25.7796100002015 0, -100.18662000011278 25.779180000157055 0, -100.18748000020167 25.778750000112552 0, -100.18697000006529 25.77793999963143 0, -100.18674000025067 25.777580000117098 0, -100.18651999999787 25.77719999968042 0, -100.18613999956119 25.776639999936208 0, -100.18641999988296 25.776419999683412 0, -100.18697000006529 25.776100000215024 0, -100.1877500000623 25.775480000401842 0, -100.1885300000593 25.774930000219513 0, -100.18892999961963 25.774600000289922 0, -100.18922000040254 25.774380000037127 0, -100.19126000004883 25.772869999650936 0, -100.19156000039357 25.772679999882257 0, -100.1923499999524 25.7721499997229 0, -100.19854999988246 25.76781000013159 0, -100.19862000041252 25.768079999992153 0, -100.19871000006628 25.768260000199007 0, -100.19977000038506 25.771139999911213 0, -100.20000000019968 25.771619999563484 0, -100.20018000040653 25.771890000323424 0, -100.20045000026715 25.772309999906724 0, -100.20059999998983 25.77290999969688 0, -100.20062000001286 25.77327999967241 0, -100.20055999994389 25.773709999716857 0, -100.20057000040504 25.773880000361885 0, -100.20049999987492 25.77421000029142 0, -100.20037000017521 25.774259999899243 0, -100.1979799996771 25.775469999940697 0, -100.19550000042454 25.776709999567004 0, -100.19530999975655 25.776829999704887 0, -100.1944499996676 25.777239999726362 0, -100.19495000024216 25.77805999976931 0, -100.1954200003326 25.778859999789347 0, -100.19589000042305 25.779599999740356 0, -100.19633000002932 25.78039000019851 0, -100.19686999975056 25.781210000241458 0, -100.19669000044303 25.781250000287457 0, -100.19600000009979 25.781589999778816 0, -100.19514999957266 25.78201999982332 0, -100.19477999959713 25.782200000030116 0), (-100.19134000014077 25.776789999658945 0, -100.19177999974704 25.776579999867238 0, -100.19132000011774 25.775790000308405 0, -100.19087000005032 25.776020000123083 0, -100.190430000444 25.776229999914733 0, -100.19091000009627 25.777000000349915 0, -100.19134000014077 25.776789999658945 0), (-100.18288999987345 25.784120000437838 0, -100.18243000024415 25.784339999791314 0, -100.18200999976153 25.784549999582964 0, -100.18249999987495 25.785349999602943 0, -100.18290999989642 25.78511999978832 0, -100.18337999998687 25.784900000434845 0, -100.18288999987345 25.784120000437838 0))",Guadalupe
Avenida Simón Bolívar,FUTURO APODACA,"POLYGON Z ((-100.18204000024565 25.788410000421322 0, -100.18194999969256 25.788460000029147 0, -100.18163000022417 25.78850000007509 0, -100.18145999957915 25.789509999886775 0, -100.18145999957915 25.789560000393863 0, -100.17970999981651 25.789420000233008 0, -100.17640999962163 25.790770000435316 0, -100.17445000006728 25.790249999837783 0, -100.17363999958616 25.791290000133586 0, -100.17295999970406 25.791629999624945 0, -100.17215999968408 25.79217999980733 0, -100.17190000028461 25.792299999945214 0, -100.1684799999519 25.78780999973185 0, -100.16839000029813 25.78770000005511 0, -100.16829999974505 25.7875999999402 0, -100.16812000043751 25.787379999687403 0, -100.16685000032709 25.78573000003962 0, -100.16675000021218 25.785609999901737 0, -100.16669999970509 25.785660000408882 0, -100.16632999972956 25.785159999834264 0, -100.16521000024119 25.783670000370364 0, -100.1649200003576 25.78330000039489 0, -100.16480000021966 25.78314999977283 0, -100.16486999985045 25.78312999974986 0, -100.16509000010325 25.783060000119065 0, -100.16519000021816 25.783029999634948 0, -100.16691999995788 25.782509999936735 0, -100.16806999993042 25.782150000422348 0, -100.16891999955817 25.78189999968538 0, -100.17112999984948 25.781259999849283 0, -100.17455999974402 25.78021999955348 0, -100.17488999967361 25.780120000337888 0, -100.17502000027264 25.780080000291946 0, -100.17535999976405 25.779980000177034 0, -100.17765999970908 25.779269999810822 0, -100.17771999977799 25.77938000038688 0, -100.17777999984696 25.779479999602472 0, -100.17785000037708 25.779619999763327 0, -100.1787600000738 25.7811399997114 0, -100.17923999972606 25.781939999731378 0, -100.17970000025468 25.782679999682387 0, -100.18110000006482 25.784999999650438 0, -100.18157999971709 25.785799999670417 0, -100.18204000024565 25.786579999667424 0, -100.18259000042804 25.787379999687403 0, -100.18262999957466 25.787439999756373 0, -100.18272000012774 25.7875700003554 0, -100.18313999971105 25.788110000076585 0, -100.18274999971254 25.788299999845265 0, -100.18204000024565 25.788410000421322 0))",Saltillo
Avenida General Pablo González Garza,HOMERO SEPULVEDA,"POLYGON Z ((-100.19134000014077 25.776789999658945 0, -100.19091000009627 25.777000000349915 0, -100.190430000444 25.776229999914733 0, -100.19087000005032 25.776020000123083 0, -100.19132000011774 25.775790000308405 0, -100.19177999974704 25.776579999867238 0, -100.19134000014077 25.776789999658945 0))",Monte Morelos
