name,colonia
Paseo Santa Lucía,"Monterrey, Nuevo León, Mexico"
Paseo Río Santa Lucía,"Monterrey, Nuevo León, Mexico"
Calle Valentín Gómez Farías,"Monterrey, Nuevo León, Mexico"
Calle Francisco Javier Mina,"Monterrey, Nuevo León, Mexico"
Calle Nueva Inglaterra,"Monterrey, Nuevo León, Mexico"
Avenida Adolfo Ruíz Cortines,"Monterrey, Nuevo León, Mexico"
"['Avenida Doctor José Eleuterio González', 'Avenida Fidel Velázquez']","Monterrey, Nuevo León, Mexico"
Calle Reforma,"Monterrey, Nuevo León, Mexico"
Avenida Simón Bolívar,"Monterrey, Nuevo León, Mexico"
Avenida General Pablo González Garza,"Monterrey, Nuevo León, Mexico"
Calle Profesor Moisés Sáenz,"Monterrey, Nuevo León, Mexico"
Calle Jardín de las Delicias,"Monterrey, Nuevo León, Mexico"
Calle Ciudad del Limón,"Monterrey, Nuevo León, Mexico"
Calle Jiquilpan,"Monterrey, Nuevo León, Mexico"
Calle Ixtapa,"Monterrey, Nuevo León, Mexico"
Calle Poza Rica,"Monterrey, Nuevo León, Mexico"
Calle Jardín de Tallerías,"Monterrey, Nuevo León, Mexico"
Calle Ciudad Del Maíz,"Monterrey, Nuevo León, Mexico"
Calle Jaumave,"Monterrey, Nuevo León, Mexico"
Privada Tepalcatepec,"Monterrey, Nuevo León, Mexico"
Calle Tuxpan,"Monterrey, Nuevo León, Mexico"
Calle Tuxtla,"Monterrey, Nuevo León, Mexico"
Calle Tamuín,"Monterrey, Nuevo León, Mexico"
Calle Nueva York,"Monterrey, Nuevo León, Mexico"
Calle Nueva Escocia,"Monterrey, Nuevo León, Mexico"
Calle Jardín del Parque,"Monterrey, Nuevo León, Mexico"
Calle Jardín de los Olivos,"Monterrey, Nuevo León, Mexico"
Calle Morelia,"Monterrey, Nuevo León, Mexico"
Calle Nueva Sevilla,"Monterrey, Nuevo León, Mexico"
Calle Nueva Toledo,"Monterrey, Nuevo León, Mexico"
Calle Comitán,"Monterrey, Nuevo León, Mexico"
Calle Mitla,"Monterrey, Nuevo León, Mexico"
Calle Valadeces,"Monterrey, Nuevo León, Mexico"
Calle Jardín de Babilonia,"Monterrey, Nuevo León, Mexico"
Calle Nueva Orleans,"Monterrey, Nuevo León, Mexico"
Calle Zamora,"Monterrey, Nuevo León, Mexico"
Avenida Abraham Lincoln,"Monterrey, Nuevo León, Mexico"
Calle Mutualismo,"Monterrey, Nuevo León, Mexico"
Privada Lerdo,"Monterrey, Nuevo León, Mexico"
Calle San Felipe,"Monterrey, Nuevo León, Mexico"
Calle Nueva Castilla,"Monterrey, Nuevo León, Mexico"
Calle Nueva Australia,"Monterrey, Nuevo León, Mexico"
Calle Nueva Ámsterdam,"Monterrey, Nuevo León, Mexico"
Calle Carolina del Sur,"Monterrey, Nuevo León, Mexico"
San Fernando,"Monterrey, Nuevo León, Mexico"
Laredo,"Monterrey, Nuevo León, Mexico"
Calle del Roble,"Monterrey, Nuevo León, Mexico"
Padua,"Monterrey, Nuevo León, Mexico"
Calle Tehuantepec,"Monterrey, Nuevo León, Mexico"
Avenida Doctor José Eleuterio González,"Monterrey, Nuevo León, Mexico"
Avenida Insurgentes,"Monterrey, Nuevo León, Mexico"
Calle José Alvarado,"Monterrey, Nuevo León, Mexico"
Avenida Eugenio Garza Sada,"Monterrey, Nuevo León, Mexico"
Avenida Venustiano Carranza,"Monterrey, Nuevo León, Mexico"
Avenida Padre Mier,"Monterrey, Nuevo León, Mexico"
Calle José María Arteaga,"Monterrey, Nuevo León, Mexico"
Licenciado Dominguez,"Monterrey, Nuevo León, Mexico"
Calzada Guadalupe Victoria,"Monterrey, Nuevo León, Mexico"
Calle Melchor Múzquiz,"Monterrey, Nuevo León, Mexico"
Centenario de Zapata,"Monterrey, Nuevo León, Mexico"
"['Calle José Justo Corro', 'Calle Xicoténcatl']","Monterrey, Nuevo León, Mexico"
Calle Manuel Gómez Pedraza,"Monterrey, Nuevo León, Mexico"
Calle Washington,"Monterrey, Nuevo León, Mexico"
Calle Profesor José Silvestre Aramberri,"Monterrey, Nuevo León, Mexico"
Calle Isaac Garza,"Monterrey, Nuevo León, Mexico"
Calle Carlos Salazar,"Monterrey, Nuevo León, Mexico"
"['Avenida General Pablo González Garza', 'Avenida Cristóbal Colón']","Monterrey, Nuevo León, Mexico"
Avenida Cristóbal Colón,"Monterrey, Nuevo León, Mexico"
Calle Roble,"Monterrey, Nuevo León, Mexico"
Calle 20 de Noviembre,"Monterrey, Nuevo León, Mexico"
Calle Martín de Zavala,"Monterrey, Nuevo León, Mexico"
Calle América,"Monterrey, Nuevo León, Mexico"
Calle Serafín Peña,"Monterrey, Nuevo León, Mexico"
Calle Mártires de Chicago,"Monterrey, Nuevo León, Mexico"
Calle Luis Quintanar,"Monterrey, Nuevo León, Mexico"
Calle Ignacio Zaragoza,"Monterrey, Nuevo León, Mexico"
Modesto Arreola,"Monterrey, Nuevo León, Mexico"
Calle Ruperto Martínez,"Monterrey, Nuevo León, Mexico"
Calle Albino Espinosa,"Monterrey, Nuevo León, Mexico"
Calle Manuel Maria del Llano,"Monterrey, Nuevo León, Mexico"
Peatonal José María Morelos Y Pavón,"Monterrey, Nuevo León, Mexico"
Calle General Juan Zuazua,"Monterrey, Nuevo León, Mexico"
Calle Santiago Tapia,"Monterrey, Nuevo León, Mexico"
Calle General Jerónimo Treviño,"Monterrey, Nuevo León, Mexico"
Calle Magallanes,"Monterrey, Nuevo León, Mexico"
Calle Melchor Ocampo,"Monterrey, Nuevo León, Mexico"
Calle Ignacio López Rayón,"Monterrey, Nuevo León, Mexico"
Calle José Garibaldi,"Monterrey, Nuevo León, Mexico"
Calle Miguel Hidalgo y Costilla,"Monterrey, Nuevo León, Mexico"
Calle México,"Monterrey, Nuevo León, Mexico"
Calle Mirador,"Monterrey, Nuevo León, Mexico"
Calle Ignacio Luis Vallarta,"Monterrey, Nuevo León, Mexico"
Calle Francisco Zarco,"Monterrey, Nuevo León, Mexico"
Calle Mariano Escobedo,"Monterrey, Nuevo León, Mexico"
Avenida Cuauhtémoc,"Monterrey, Nuevo León, Mexico"
Francisco G. Bocanegra,"Monterrey, Nuevo León, Mexico"
Avenida Alfonso Reyes,"Monterrey, Nuevo León, Mexico"
Calle Teotihuacán,"Monterrey, Nuevo León, Mexico"
Calle Hermosillo,"Monterrey, Nuevo León, Mexico"
Calle Río Jordán,"Monterrey, Nuevo León, Mexico"
Avenida Lázaro Cárdenas,"Monterrey, Nuevo León, Mexico"
Calle Antigua Carretera Nacional,"Monterrey, Nuevo León, Mexico"
Avenida Miravalle,"Monterrey, Nuevo León, Mexico"
Calzada San Pedro,"Monterrey, Nuevo León, Mexico"
Calle Río Verde,"Monterrey, Nuevo León, Mexico"
Avenida Matehuala,"Monterrey, Nuevo León, Mexico"
Boulevard Antonio L. Rodríguez,"Monterrey, Nuevo León, Mexico"
"['Puente Atirantado', 'Boulevard Rogelio Cantú Gómez']","Monterrey, Nuevo León, Mexico"
Boulevard Rogelio Cantú Gómez,"Monterrey, Nuevo León, Mexico"
"['Boulevard Licenciado Raúl Rangel Frías', 'Boulevard Rogelio Cantú Gómez']","Monterrey, Nuevo León, Mexico"
Calle Mariano Matamoros,"Monterrey, Nuevo León, Mexico"
Calle Doctor José María Coss,"Monterrey, Nuevo León, Mexico"
Calle Juan Ignacio Ramón,"Monterrey, Nuevo León, Mexico"
