Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,colonia,calle,municipio,locacion,GPE,facilidad,geometría
@Cicmty,CIC,"Jun 21, 2024 · 9:38 PM UTC",cuidadodelagua sin suministro de agua en la colonia bosques de la huasteca santacatarina vía nessspartan cc aydmonterrey,3,0,1,0,https://twitter.com/Cicmty/status/1804267614073499945#m,,,,eléctrico,-0.8150661587715149,bosquesdelahuasteca,,,,,,"POLYGON Z ((-100.45159000017821 25.66127000001063 0, -100.4517100003161 25.660819999943214 0, -100.4517500003621 25.66055999964442 0, -100.45179000040804 25.66024000017603 0, -100.45235999971408 25.660100000015177 0, -100.45259999998984 25.660050000407352 0, -100.4528200002427 25.659990000338382 0, -100.45298000042652 25.659939999831295 0, -100.45325000028714 25.6598700002005 0, -100.45319999978 25.661279999572514 0, -100.4531700001952 25.661680000032163 0, -100.45272999968961 25.661700000055134 0, -100.45229000008328 25.661720000078105 0, -100.4514900000633 25.6617899997089 0, -100.45149999962513 25.66145999977931 0, -100.45155000013227 25.6613599996644 0, -100.45159000017821 25.66127000001063 0))"
@Cicmty,CIC,"Jun 21, 2024 · 9:32 PM UTC",cuidadodelagua servicio de agua con aspecto turbio en la colonia vista hermosa monterrey vía carmengina cc aydmonterrey,10,0,4,0,https://twitter.com/Cicmty/status/1804266230666207353#m,['https://pbs.twimg.com/media/GQoKbKcX0AAySZF.jpg'],,,eléctrico,0.8081109374761581,vistahermosa,,monterrey,,,,"POLYGON Z ((-100.37142999979449 25.701470000340407 0, -100.37121000044101 25.70137999978732 0, -100.37046000002886 25.700949999742875 0, -100.3698499997775 25.70063000027443 0, -100.36976000012373 25.700590000228487 0, -100.36822999971457 25.699759999724392 0, -100.36717999985694 25.69922000000315 0, -100.36660999965159 25.698899999635444 0, -100.3662900001832 25.699400000210005 0, -100.36621000009126 25.699670000070626 0, -100.36623000011429 25.70030999990672 0, -100.36615999958417 25.700789999558992 0, -100.36596000025366 25.701120000387846 0, -100.36574000000087 25.70135999976435 0, -100.36549999972505 25.70121999960344 0, -100.36553000020922 25.701270000110583 0, -100.36580999963161 25.701569999556 0, -100.36582999965464 25.70162999962497 0, -100.36561999986293 25.701499999925204 0, -100.36495000044204 25.701120000387846 0, -100.36434000019068 25.700800000020138 0, -100.36300000044952 25.700089999653926 0, -100.36290999989643 25.7000400000461 0, -100.36270000010478 25.699930000369363 0, -100.36253000035907 25.699839999816277 0, -100.36241999978301 25.699779999747363 0, -100.36221999955319 25.699670000070626 0, -100.36214000036057 25.699630000024626 0, -100.36071000006632 25.6988599995895 0, -100.36046000022867 25.698729999889736 0, -100.35987000000034 25.698419999983173 0, -100.3597600003236 25.698359999914203 0, -100.35964000018572 25.698290000283464 0, -100.35952999960966 25.69823999977632 0, -100.35933999984098 25.698139999661407 0, -100.35763000012423 25.697240000425836 0, -100.3575200004475 25.697180000356923 0, -100.35750000042452 25.697260000448807 0, -100.35750000042452 25.697350000102574 0, -100.35757000005532 25.69743999975634 0, -100.35728999973355 25.69727999957246 0, -100.35726000014876 25.69729000003366 0, -100.35720999964161 25.697299999595486 0, -100.35716000003384 25.697299999595486 0, -100.35711999998784 25.69729000003366 0, -100.35709000040305 25.697270000010633 0, -100.3570500003571 25.69722999996469 0, -100.3570399998959 25.69716999989572 0, -100.3570399998959 25.69710000026498 0, -100.3570500003571 25.697060000218983 0, -100.35691999975802 25.697029999734866 0, -100.35687000015025 25.697029999734866 0, -100.35521999960315 25.696969999665896 0, -100.35486999965059 25.696969999665896 0, -100.35441000002135 25.69681000038139 0, -100.35457999976705 25.69681000038139 0, -100.35525999964909 25.696839999966187 0, -100.3552700001103 25.696209999691916 0, -100.35529000013327 25.695589999878734 0, -100.35529000013327 25.694930000019667 0, -100.35531999971806 25.69427999972237 0, -100.35504999985744 25.694290000183514 0, -100.35463999983597 25.694290000183514 0, -100.35453999972106 25.69427999972237 0, -100.35356000039354 25.694239999676427 0, -100.35289000007327 25.694239999676427 0, -100.35196000035359 25.694250000137572 0, -100.35178999970856 25.6942199996534 0, -100.35166000000885 25.694190000068602 0, -100.35153000030914 25.694139999561514 0, -100.35137000012526 25.694080000391864 0, -100.3514100001712 25.692910000396353 0, -100.3514500002172 25.692300000145053 0, -100.351479999802 25.691879999662433 0, -100.35149000026314 25.691680000331928 0, -100.35157000035508 25.690780000197037 0, -100.35161000040102 25.690250000037622 0, -100.35166000000885 25.689300000294963 0, -100.35153999987097 25.689300000294963 0, -100.35157999991691 25.688649999997665 0, -100.35161000040102 25.688190000368365 0, -100.35161000040102 25.687930000069628 0, -100.3516199999629 25.687809999931744 0, -100.35163000042405 25.68768000023198 0, -100.35165000044702 25.68741999993324 0, -100.35172999963964 25.68598000007711 0, -100.35174999966262 25.685619999663402 0, -100.3518699998005 25.683709999716882 0, -100.35200000039953 25.683720000178027 0, -100.35217999970706 25.68366999967094 0, -100.3522300002142 25.683780000246998 0, -100.35231000030615 25.683849999877737 0, -100.35252999965962 25.683940000430823 0, -100.35278999995836 25.68394999999265 0, -100.35305000025716 25.683929999969678 0, -100.35328000007178 25.68388000036191 0, -100.35348999986343 25.68380000026997 0, -100.35369999965513 25.683680000132085 0, -100.35418000020667 25.683330000179524 0, -100.3558800003616 25.682089999653954 0, -100.35595999955416 25.682169999745838 0, -100.35599999960016 25.68224999983778 0, -100.35601999962313 25.682340000390866 0, -100.3560100000613 25.683640000086086 0, -100.35594000043051 25.683649999647912 0, -100.35588999992342 25.68368999969391 0, -100.35586000033862 25.683749999762824 0, -100.35586000033862 25.68382000029294 0, -100.35590000038457 25.683869999900764 0, -100.35594999999233 25.683909999946707 0, -100.35625000033707 25.68414800013028 0, -100.3567970003811 25.684364000198627 0, -100.35654000022066 25.684739999551482 0, -100.35648200024394 25.685175999872683 0, -100.3566849997128 25.68574399998579 0, -100.35697699968864 25.686047999615653 0, -100.35798200016905 25.68653400044394 0, -100.35886999975054 25.686769999635942 0, -100.35927000021019 25.687049999957708 0, -100.35952999960966 25.6872999997953 0, -100.35976999988543 25.68748999956398 0, -100.36017000034508 25.687660000209007 0, -100.36042000018273 25.68778000034689 0, -100.36077999969706 25.688019999723394 0, -100.36130999985647 25.688289999583958 0, -100.36194000013074 25.68850999983681 0, -100.36214000036057 25.68926999981079 0, -100.36371500014701 25.691370000425366 0, -100.36775999962413 25.696340000290945 0, -100.36844999996737 25.697180000356923 0, -100.36894999964261 25.697660000009137 0, -100.36970999961665 25.698620000212998 0, -100.37000999996138 25.69899000018853 0, -100.37046000002886 25.699440000255947 0, -100.3711100003261 25.699990000438333 0, -100.3712800000718 25.700380000436837 0, -100.37136999972557 25.700639999836312 0, -100.37142999979449 25.700949999742875 0, -100.37146000027866 25.701199999580467 0, -100.37144999981751 25.701370000225495 0, -100.37142999979449 25.701470000340407 0))"
@Cicmty,CIC,"Jun 21, 2024 · 9:30 PM UTC",cuidadodelagua fuga de agua limpia en un domicilio en olmos entre av potrero de anáhuac y encinos col potrero anáhuac sannicolás vía enriquemgo cc aydmonterrey kmgn,1,0,0,0,https://twitter.com/Cicmty/status/1804265702800736423#m,,,,no se relaciona,-0.6248129308223724,potreroanahuac,olmos entre av,sannicolás,,,,"POLYGON Z ((-100.29562999992442 25.735830000254452 0, -100.29624999973754 25.736789999558994 0, -100.29716000033358 25.738170000245475 0, -100.2969899996886 25.738480000152038 0, -100.29659000012828 25.739409999871782 0, -100.29685000042701 25.73959000007858 0, -100.29669999980501 25.7398599999392 0, -100.2965300000593 25.740060000169024 0, -100.29632999982948 25.74022999991473 0, -100.29603000038406 25.740439999706382 0, -100.29527999997185 25.740940000280943 0, -100.29501000011129 25.741119999588477 0, -100.2949000004345 25.74084000016603 0, -100.29464000013576 25.73996000005411 0, -100.29443000034411 25.73959999964046 0, -100.29423999967611 25.739300000195044 0, -100.29396000025366 25.73891000019654 0, -100.29374999956269 25.73858000026695 0, -100.29355000023219 25.738250000337416 0, -100.29335000000236 25.737929999969708 0, -100.29314000021071 25.737600000040118 0, -100.29293000041906 25.737270000110584 0, -100.29269999970506 25.73690000013505 0, -100.29437999983696 25.735910000346394 0, -100.29527000041003 25.735449999817774 0, -100.29548000020168 25.735569999955715 0, -100.29562999992442 25.735830000254452 0))"
@Cicmty,CIC,"Jun 21, 2024 · 8:58 PM UTC",cuidadodelagua sin suministro de agua en la colonia satélite acueducto monterrey vía berthisvaldez cc aydmonterrey,3,0,2,0,https://twitter.com/Cicmty/status/1804257595353362888#m,,,,eléctrico,-0.6943379044532776,sateliteacueducto,,,,,,"POLYGON Z ((-100.28026199989125 25.6060559997847 0, -100.27992999986947 25.60636000031394 0, -100.27929000003331 25.606590000128563 0, -100.27863999973607 25.606799999920213 0, -100.277939999831 25.607089999803804 0, -100.27771999957815 25.607299999595455 0, -100.27732999957965 25.60696999966592 0, -100.27713999981097 25.606779999897242 0, -100.27682999990441 25.606530000059593 0, -100.27633999979099 25.606120000038118 0, -100.27594000023066 25.60577999964744 0, -100.27559000027816 25.605449999717905 0, -100.27514000021068 25.605019999673402 0, -100.27477999979698 25.604680000182043 0, -100.27424000007579 25.604159999584454 0, -100.27393999973106 25.603840000116065 0, -100.27379000000832 25.603710000416356 0, -100.27395999975403 25.603519999748357 0, -100.27403000028414 25.6035999998403 0, -100.27454000042053 25.603080000142086 0, -100.27475000021218 25.602879999912204 0, -100.27485000032709 25.602810000281465 0, -100.27500999961165 25.60275999977432 0, -100.27522000030262 25.60279999982032 0, -100.2753700000253 25.602859999889233 0, -100.27545000011725 25.60295000044232 0, -100.27553999977101 25.603080000142086 0, -100.27559000027816 25.602960000004146 0, -100.27561999986295 25.60267999968238 0, -100.27576000002381 25.60265999965941 0, -100.27596000025363 25.602599999590495 0, -100.27662000011276 25.602690000143582 0, -100.27662899962849 25.602372999914166 0, -100.2773319996719 25.60249900032875 0, -100.27758100036272 25.602690000143582 0, -100.27785899969291 25.60300700037294 0, -100.27811799994561 25.603598999794144 0, -100.27823800008349 25.604140999607637 0, -100.27844999996739 25.604224999884025 0, -100.27941200026345 25.604532999698336 0, -100.27985600005422 25.604966999927285 0, -100.28006899998422 25.605442000248274 0, -100.28026199989125 25.6060559997847 0))"
@Cicmty,CIC,"Jun 21, 2024 · 8:11 PM UTC",cuidadodelagua sin suministro de agua en la colonia arboledas de la silla guadalupe vía marcoitnl cc aydmonterrey,1,0,0,0,https://twitter.com/Cicmty/status/1804245867034976563#m,,,,eléctrico,-0.9140684753656388,arboledasdelasilla,,marcoitnl,,,,"POLYGON Z ((-100.22635999991394 25.65145999997918 0, -100.22633000032909 25.65164999974786 0, -100.22627000026017 25.65187999956248 0, -100.22623000021417 25.652099999815277 0, -100.22619000016823 25.652289999583957 0, -100.22613999966109 25.652670000020635 0, -100.22602000042252 25.653100000065137 0, -100.22592999986944 25.653519999648438 0, -100.2258499997775 25.65396000015403 0, -100.22576000012378 25.654399999760358 0, -100.22568000003184 25.654829999804804 0, -100.2255999999399 25.655270000310452 0, -100.22557999991693 25.655390000448335 0, -100.22551000028614 25.655709999916724 0, -100.2254300001942 25.65613999996117 0, -100.22535000010225 25.656579999567498 0, -100.22527000001037 25.657009999611944 0, -100.2252099999414 25.657300000394855 0, -100.2251800003566 25.657439999656447 0, -100.22510999982649 25.657880000162038 0, -100.22502999973455 25.658239999676425 0, -100.22500999971157 25.658339999791338 0, -100.22360000033962 25.65798000027695 0, -100.22295000004232 25.657820000093068 0, -100.223139999811 25.65774999956301 0, -100.22334000004082 25.656879999912235 0, -100.22369999955521 25.654969999965715 0, -100.22408999955371 25.653109999626963 0, -100.223919999808 25.653089999603935 0, -100.22377000008527 25.653129999649934 0, -100.22364999994738 25.653049999557993 0, -100.22358000031659 25.652959999904226 0, -100.22360999990144 25.65273999965143 0, -100.22395999985395 25.651159999634444 0, -100.22410999957668 25.65049999977532 0, -100.22358000031659 25.650390000098582 0, -100.22336999962562 25.65037000007561 0, -100.22270000020467 25.65028999998367 0, -100.22235000025216 25.65069000044332 0, -100.22217000004531 25.650599999890233 0, -100.22057000000535 25.650599999890233 0, -100.22054999998238 25.650880000212 0, -100.22046000032861 25.651279999772328 0, -100.22040999982147 25.651540000071122 0, -100.2203200001677 25.651870000000656 0, -100.21985999963914 25.651769999885744 0, -100.21808000029165 25.651310000256444 0, -100.21794999969256 25.651210000141532 0, -100.21769999985497 25.650849999727882 0, -100.21765999980897 25.65072999959 0, -100.2179299996696 25.650220000352874 0, -100.21820000042953 25.649859999939224 0, -100.21835999971404 25.649480000401866 0, -100.2185100003361 25.649059999919245 0, -100.21812999989942 25.648879999712392 0, -100.21751999964812 25.648640000335888 0, -100.21720000017973 25.64844999966789 0, -100.216859999789 25.648210000291442 0, -100.21669999960517 25.6485899998288 0, -100.21591000004634 25.648010000061618 0, -100.21545999997886 25.647959999554473 0, -100.21566000020869 25.64723000006461 0, -100.21578000034657 25.646759999974165 0, -100.21625000043701 25.6464799996524 0, -100.216899999835 25.64614000016104 0, -100.21693000031911 25.645650000047624 0, -100.21697000036505 25.645159999934208 0, -100.2150800004415 25.64478000039685 0, -100.21455000028214 25.644669999820792 0, -100.21467000042003 25.644210000191492 0, -100.2155000000248 25.64439999996017 0, -100.2156099997016 25.64388000026196 0, -100.2152199997031 25.643809999731843 0, -100.21511999958818 25.64374999966293 0, -100.21504000039556 25.64366999957099 0, -100.21484999972756 25.643390000148543 0, -100.21480000011974 25.643260000448834 0, -100.21424999993741 25.64349999982528 0, -100.2136900001932 25.643490000263455 0, -100.21318000005681 25.64347999980231 0, -100.2130100003111 25.64347999980231 0, -100.21287000015025 25.64345999977934 0, -100.21293000021916 25.643180000356892 0, -100.21252999975951 25.64308000024198 0, -100.21233999999083 25.64308000024198 0, -100.21082000004282 25.643169999895747 0, -100.21107700020326 25.64159900029381 0, -100.21116999999538 25.639659999909213 0, -100.21147999990194 25.639760000024125 0, -100.21545999997886 25.640510000436336 0, -100.21547000044 25.64095999960449 0, -100.21578000034657 25.640990000088607 0, -100.2159599996541 25.640939999581462 0, -100.21615999988393 25.640999999650433 0, -100.21619999992993 25.64103000013455 0, -100.21630999960666 25.641150000272432 0, -100.217639999786 25.642030000384352 0, -100.21903999959613 25.642839999966213 0, -100.21900000044951 25.643390000148543 0, -100.22153000020921 25.645959999954187 0, -100.22346799964834 25.645977999884963 0, -100.22553999987093 25.648230000314413 0, -100.22653699998239 25.64995299973134 0, -100.2265000000748 25.650740000051144 0, -100.22639999995988 25.65117000009559 0, -100.22635999991394 25.65145999997918 0))"
@Cicmty,CIC,"Jun 21, 2024 · 7:04 PM UTC",cuidadodelagua sin suministro de agua en la colonia villas del mirador santacatarina vía dm cc aydmonterrey,0,0,0,0,https://twitter.com/Cicmty/status/1804229025189048795#m,,,,eléctrico,-0.8675412312150002,fraccvillasdelmirador,,,,,,"POLYGON Z ((-100.44414000016076 25.69259999959047 0, -100.44397000041505 25.69295000044235 0, -100.44377000018522 25.693280000371885 0, -100.44348000030163 25.693780000047127 0, -100.44342999979449 25.693869999700894 0, -100.4437900002082 25.694049999907747 0, -100.4439199999079 25.695830000154558 0, -100.44436999997538 25.69603999994621 0, -100.44478999955868 25.696240000176033 0, -100.44475000041206 25.69667000022048 0, -100.44467999988194 25.696819999943216 0, -100.44426000029864 25.69661999971339 0, -100.44342999979449 25.696220000153062 0, -100.44276999993542 25.69593000026947 0, -100.44225000023715 25.69568000043182 0, -100.44139999971009 25.695270000410346 0, -100.44116999989541 25.69515999983429 0, -100.44071000026617 25.694930000019667 0, -100.44034999985246 25.694749999812814 0, -100.4396200003626 25.694390000298426 0, -100.44018999966858 25.693430000094565 0, -100.44044000040554 25.692989999588974 0, -100.4411099998265 25.691819999593463 0, -100.44131000005632 25.691480000102104 0, -100.44147999980203 25.691199999780338 0, -100.44168999959368 25.690829999804805 0, -100.44244000000583 25.691179999757367 0, -100.44256000014371 25.69123999982628 0, -100.4427499999124 25.69131999991822 0, -100.44305999981901 25.691480000102104 0, -100.44328999963363 25.691580000217016 0, -100.44338999974855 25.691629999824784 0, -100.44367999963214 25.691790000008666 0, -100.44402999958464 25.691919999708375 0, -100.44434000039058 25.692059999869286 0, -100.44469999990491 25.69226000009911 0, -100.44445000006732 25.692759999774353 0, -100.44414000016076 25.69259999959047 0))"
@AtentosMTYSur,Atentos Mty Sur ¡vecinos en acción!,"May 3, 2024 · 8:50 PM UTC",reportan un accidente en antiguo camino a villa de santiago y carteros colonia granja postal de sur a norte precaución al circular por la zona sspcmonterrey,4,2,0,0,https://twitter.com/AtentosMTYSur/status/1786498567810564242#m,"['https://pbs.twimg.com/media/GMrq-t4WIAE5Vhm.jpg', 'https://pbs.twimg.com/media/GMrq-vXWUAAdEjv.jpg']",,,no se relaciona,-0.9423868730664252,granjapostal,,,,,,"POLYGON Z ((-100.24994999959267 25.585169999795824 0, -100.2498199998929 25.585169999795824 0, -100.24959000007829 25.58512999974988 0, -100.24922000010275 25.585040000096114 0, -100.24905999991893 25.585020000073087 0, -100.24883000010425 25.584960000004173 0, -100.24870999996637 25.585089999703882 0, -100.24860000028963 25.585189999818795 0, -100.24850000017472 25.585289999933707 0, -100.24834999955272 25.58547000014056 0, -100.24827999992192 25.58563999988627 0, -100.24821999985295 25.585800000070094 0, -100.24817999980701 25.585969999815802 0, -100.24807000013027 25.586089999953685 0, -100.24792999996936 25.586170000045627 0, -100.24770999971656 25.586250000137568 0, -100.24751999994788 25.586339999791335 0, -100.24733999974103 25.586459999929218 0, -100.24655999974402 25.586919999558518 0, -100.24634000039055 25.586589999628927 0, -100.24628000032163 25.586490000413335 0, -100.24558999997839 25.58539000004862 0, -100.2434369996177 25.586820000342925 0, -100.24359999993987 25.587010000111604 0, -100.24351000028611 25.587079999742343 0, -100.24308000024166 25.587400000110108 0, -100.24241600019809 25.586281999814616 0, -100.24295699996543 25.58469600042025 0, -100.24360300007822 25.583462000171323 0, -100.24355799980168 25.582769999735888 0, -100.24368000003182 25.58198999973888 0, -100.2456500000473 25.582860000288974 0, -100.24600900041492 25.582823000381325 0, -100.24622999981449 25.582590000428354 0, -100.2463999995602 25.58249000031344 0, -100.24712999994938 25.580810000181543 0, -100.24751999994788 25.58112999964993 0, -100.24758999957868 25.58108999960399 0, -100.24766999967062 25.58110999962696 0, -100.24788000036159 25.58126000024896 0, -100.2479400004305 25.58140000040987 0, -100.2480100000613 25.58151000008661 0, -100.24811999973804 25.581670000270435 0, -100.24825000033712 25.5817999999702 0, -100.2484699996906 25.581980000177055 0, -100.24879999962013 25.581730000339405 0, -100.2494400003556 25.58091999985828 0, -100.24959400026273 25.580551999975 0, -100.24969200028545 25.58002900013844 0, -100.2499299995697 25.57939999991021 0, -100.25026000039855 25.579700000254945 0, -100.2526099999514 25.581599999740376 0, -100.25240000015975 25.581969999715852 0, -100.25113000004933 25.58360999980181 0, -100.24994999959267 25.585169999795824 0))"
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 8:10 PM UTC",arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación baja permanece informado en medios oficiales ante cualquier emergenciasn alertasn,2,1,0,0,https://twitter.com/GobSanNicolas/status/1804245476729864243#m,,,,inundación,-0.9334075897932052,blaschumacero,,,arroyo la talaverana a,,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 5:09 AM UTC",av universidad tapia a la altura de estación del metro tapia inundación media arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación media,2,2,1,0,https://twitter.com/GobSanNicolas/status/1804018851178307869#m,,,,inundación,-0.9839121587574482,blaschumacero,arroyo la talaverana,,metro tapia inundación,,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 4:40 AM UTC",av universidad tapia a la altura de estación del metro tapia inundación media arroyo la talaverana a la altura de la col blas chumacera y talaverana inundación media,0,1,1,0,https://twitter.com/GobSanNicolas/status/1804011397203866010#m,,,,inundación,-0.9839121587574482,blaschumacero,arroyo la talaverana,,metro tapia inundación,,,"POLYGON Z ((-100.12474999961262 25.392290000283424 0, -100.12511000002632 25.39282000044284 0, -100.12533000027912 25.393119999888256 0, -100.1255200000478 25.393409999771848 0, -100.12572999983945 25.393730000139556 0, -100.12597000011527 25.393979999977205 0, -100.12625000043704 25.39422000025297 0, -100.1265200002976 25.394450000067593 0, -100.12664000043554 25.39453999972136 0, -100.12671000006628 25.394590000228504 0, -100.12689000027314 25.394739999951184 0, -100.12714999967261 25.394960000204037 0, -100.12661800032032 25.395633999809434 0, -100.12587999956219 25.39562999962493 0, -100.12582999995436 25.395510000386366 0, -100.12558000011677 25.39533999974134 0, -100.12531999981798 25.39521000004163 0, -100.12519000011827 25.395179999557513 0, -100.12453000025914 25.395259999649454 0, -100.12443999970606 25.394450000067593 0, -100.124519999798 25.394000000000176 0, -100.12457000030514 25.39395000039235 0, -100.12461999991291 25.39350999988676 0, -100.12467000042005 25.393059999819286 0, -100.12474999961262 25.392290000283424 0))"
