Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo,Puntaje,municipio,colonia,calle,locacion,GPE,facilidad
@Cicmty,CIC,"Jun 21, 2024 · 9:32 PM UTC",cuidadodelagua servicio de agua con aspecto turbio en la colonia vista hermosa monterrey vía carmengina cc aydmonterrey,10,0,4,0,https://twitter.com/Cicmty/status/1804266230666207353#m,['https://pbs.twimg.com/media/GQoKbKcX0AAySZF.jpg'],,,eléctrico,0.8081109374761581,monterrey,['colonia vista hermosa'],[],[],[],[]
@Cicmty,CIC,"Jun 21, 2024 · 9:30 PM UTC",cuidadodelagua fuga de agua limpia en un domicilio en olmos entre av potrero de anáhuac y encinos col potrero anáhuac sannicolás vía enriquemgo cc aydmonterrey kmgn,1,0,0,0,https://twitter.com/Cicmty/status/1804265702800736423#m,,,,no se relaciona,-0.6248129308223724,sannicolás,['col potrero anáhuac'],['olmos entre av'],[],[],[]
@elnortelocal,elnortelocal,"Jun 21, 2024 · 4:49 PM UTC",entérate toneladas de escombro y basura sepultan la avenida luis donaldo colosio en santa catarina tras escurrimientos por la tormenta alberto,6,2,1,0,https://twitter.com/elnortelocal/status/1804195016228901325#m,,,,inundación,-1.238953746855259,santacatarina,[],['avenida luis'],[],[],[]
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC",local la tormenta alberto provoca deslaves que paralizan la autopista y la carretera libre de monterrey a saltillo y causan filas kilométricas,10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,,,inundación,-1.4992207810282707,monterrey,[],[],[],[],['carretera libre']
@elnortelocal,elnortelocal,"Jun 21, 2024 · 2:58 AM UTC",local la tormenta alberto provoca deslaves que paralizan la autopista y la carretera libre de monterrey a saltillo y causan filas kilométricas,10,1,0,0,https://twitter.com/elnortelocal/status/1803985907457888501#m,,,,inundación,-1.4992207810282707,saltillo,[],[],[],[],['carretera libre']
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:30 PM UTC",local la casa del tec ubicada en santa catarina y que será rifada este sábado sufre inundaciones por las lluvias de la tormenta alberto más información en,40,13,5,1,https://twitter.com/elnortelocal/status/1803888060171718708#m,,['https://video.twimg.com/ext_tw_video/1803888007209984000/pu/pl/kdU2UaE3QVmJttZc.m3u8?tag=12'],,inundación,-1.041253674775362,santacatarina,[],[],[],[],[]
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:16 PM UTC",entérate una familia en montemorelos es rescatada al quedar atrapada por el agua en santiago trabajadores rescatan embalses y en guadalupe ayudan a un caballo amarrado cerca del río santa catarina más información,37,11,1,1,https://twitter.com/elnortelocal/status/1803884525316985189#m,['https://pbs.twimg.com/media/GQir2DUXEAATKw4.jpg'],,,inundación,0.4094616696238518,montemorelos,[],[],['río santa catarina'],[],[]
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:16 PM UTC",entérate una familia en montemorelos es rescatada al quedar atrapada por el agua en santiago trabajadores rescatan embalses y en guadalupe ayudan a un caballo amarrado cerca del río santa catarina más información,37,11,1,1,https://twitter.com/elnortelocal/status/1803884525316985189#m,['https://pbs.twimg.com/media/GQir2DUXEAATKw4.jpg'],,,inundación,0.4094616696238518,santiago,[],[],['río santa catarina'],[],[]
@elnortelocal,elnortelocal,"Jun 20, 2024 · 8:16 PM UTC",entérate una familia en montemorelos es rescatada al quedar atrapada por el agua en santiago trabajadores rescatan embalses y en guadalupe ayudan a un caballo amarrado cerca del río santa catarina más información,37,11,1,1,https://twitter.com/elnortelocal/status/1803884525316985189#m,['https://pbs.twimg.com/media/GQir2DUXEAATKw4.jpg'],,,inundación,0.4094616696238518,guadalupe,[],[],['río santa catarina'],[],[]
@elnortelocal,elnortelocal,"Jun 20, 2024 · 6:40 PM UTC",entérate las lluvias por la tormenta alberto provocan el cierre de la autopista y la carretera libre de monterrey a saltillo reportan deslaves más información en,50,12,1,0,https://twitter.com/elnortelocal/status/1803860429136912628#m,,['https://video.twimg.com/ext_tw_video/1803860412506472448/pu/pl/gq8lQgPofWsY3JKa.m3u8?tag=12'],,inundación,-1.314012460410595,monterrey,[],[],[],[],['carretera libre']
@elnortelocal,elnortelocal,"Jun 19, 2024 · 9:20 PM UTC",entérate la avenida josé ángel conchello en monterrey ya sufre los estragos de las lluvias presentadas en la ciudad más información,89,13,5,2,https://twitter.com/elnortelocal/status/1803538475083505722#m,,['https://video.twimg.com/ext_tw_video/1803537202439503873/pu/pl/r09S0Iuzv1YmFx8D.m3u8?tag=12'],,lluvia,-0.1096594631671905,monterrey,[],['avenida josé ángel'],[],[],[]
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],,lluvia,-0.3526221662759781,monterrey,[],[],['san pedro'],[],[]
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],,lluvia,-0.3526221662759781,guadalupe,[],[],['san pedro'],[],[]
@elnortelocal,elnortelocal,"Jun 19, 2024 · 8:17 PM UTC",entérate la llegada de la tormenta alberto comienza a sentirse en la zona metropolitana con lluvias en municipios como monterrey san pedro guadalupe y santa catarina más información,43,6,0,2,https://twitter.com/elnortelocal/status/1803522409548619778#m,,['https://video.twimg.com/ext_tw_video/1803522257832255489/pu/pl/jbmAJSTEyWc40SCX.m3u8?tag=12'],,lluvia,-0.3526221662759781,santacatarina,[],[],['san pedro'],[],[]
@LoQuePasaEnNL,@QuePasaEnNL ®️,"Jun 21, 2024 · 4:35 AM UTC",ahoranl en estos momentos muy fuerte lluvia en avantiguos ejidatarios en la zona de la alianza en monterrey no salgan ni intenten cruzar menos manejar quédense en un lugar seguro loquepasaennl,301,23,4,2,https://twitter.com/LoQuePasaEnNL/status/1804010315488858195#m,,['https://video.twimg.com/ext_tw_video/1804010280948731904/pu/pl/S2kpvIKQRqOn5NPK.m3u8?tag=12'],,lluvia,-1.2777128256857395,monterrey,[],[],[],[],[]
@gamavisionmx,Gamavisión Noticias,"Jun 20, 2024 · 3:15 AM UTC",usuarios de metrorreynlofi comparten imágenes del estado de los vagones del metro mismos que lucen con filtraciones de agua y encharcamientos en el interior del medio de transporte local monterrey metro metromty,43,12,0,0,https://twitter.com/gamavisionmx/status/1803627653770977701#m,,['https://video.twimg.com/ext_tw_video/1803627615086891009/pu/pl/4_Nuy9ZnWaTd22HR.m3u8?tag=12'],,no se relaciona,0.1962405145168304,monterrey,[],[],[],[],[]
@metrorreynlofi1,Metrorrey Oficial N.L.,"Jun 20, 2024 · 6:36 PM UTC",ponteatento con la tormenta evita salir si no es necesario además considera que las fuertes lluvias están afectando algunas vialidades como la carretera linares galeana la autopista monterrey saltillo y la carretera nacional cuídate y extrema precauciones,7,1,0,1,https://twitter.com/metrorreynlofi1/status/1803859502019584274#m,['https://pbs.twimg.com/media/GQiYqATWkAAI-lE.jpg'],,,lluvia,-1.22639262676239,saltillo,[],[],[],['galeana'],"['carretera linares', 'autopista monterrey', 'carretera nacional']"
@PC_NuevoLeon,Protección Civil NL,"Jun 21, 2024 · 2:20 AM UTC",ponteatento se reporta lluvia fuerte en autopista monterrey reynosa límites guadalupe y juárez extreme precauciones al conducir ante cualquier emergencia llama al todasytodossomosproteccióncivil,279,35,8,0,https://twitter.com/PC_NuevoLeon/status/1803976260386693471#m,,['https://video.twimg.com/ext_tw_video/1803976236676358144/pu/vid/avc1/848x478/3KQmSyciInF3N0rS.mp4?tag=12'],,lluvia,-1.3836613856256008,guadalupe,[],[],[],[],['autopista monterrey']
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:54 AM UTC",ponteatento av fidel velázquez en san nicolas monterrey se reporta lluvia fuerte extreme precauciones no cruce por avenidas o calles inundadas ante cualquier emergencia llama al todasytodossomosproteccióncivil,350,40,1,3,https://twitter.com/PC_NuevoLeon/status/1803652521191415858#m,,['https://video.twimg.com/ext_tw_video/1803652418577616898/pu/vid/avc1/1280x576/6dcsGUqXRInOnvVr.mp4?tag=12'],,lluvia,-1.508514042943716,sannicolás,[],['av fidel velázquez'],[],[],[]
@PC_NuevoLeon,Protección Civil NL,"Jun 20, 2024 · 4:54 AM UTC",ponteatento av fidel velázquez en san nicolas monterrey se reporta lluvia fuerte extreme precauciones no cruce por avenidas o calles inundadas ante cualquier emergencia llama al todasytodossomosproteccióncivil,350,40,1,3,https://twitter.com/PC_NuevoLeon/status/1803652521191415858#m,,['https://video.twimg.com/ext_tw_video/1803652418577616898/pu/vid/avc1/1280x576/6dcsGUqXRInOnvVr.mp4?tag=12'],,lluvia,-1.508514042943716,monterrey,[],['av fidel velázquez'],[],[],[]
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 9:45 PM UTC",ponteatento se reporta lluvia intensa en la carretera nacional cercado en santiago nl tome sus precauciones tormentatropicalalberto seguiremos informando,83,8,0,1,https://twitter.com/PC_NuevoLeon/status/1803544613338448131#m,,['https://video.twimg.com/ext_tw_video/1803544577313579008/pu/vid/avc1/848x478/S1dR014OIEvLT1ZV.mp4?tag=12'],,lluvia,-0.7250003591179848,santiago,[],[],[],['nl'],['carretera nacional']
@PC_NuevoLeon,Protección Civil NL,"Jun 19, 2024 · 4:56 AM UTC",avisometeorologico en el día de mañana miércoles se pronostica en monterrey y resto del estado lluvia ocasional por la mañana aumentando la intensidad a partir del mediodía tarde y noche con lluvia fuerte o intensa,106,29,1,1,https://twitter.com/PC_NuevoLeon/status/1803290814329790694#m,"['https://pbs.twimg.com/media/GQaTbw6XoAAbN0A.jpg', 'https://pbs.twimg.com/media/GQaTcE1XMAEDA-5.jpg', 'https://pbs.twimg.com/media/GQaTcGDXcAA9w6Q.jpg', 'https://pbs.twimg.com/media/GQaTb41WMAAwwy5.jpg']",,,lluvia,-0.6755594685673714,monterrey,[],[],[],[],[]
@SoyDeSanNicolas,SAN NICOLÁS NEWS,"Jun 21, 2024 · 1:24 AM UTC",el servicio de recolección de basura será suspendido este jueves y viernes en sannicolas les pedimos resguardar su basura para evitar que se la lleve el agua el fin de semana se reanuda con normalidad en la ciudad,42,7,0,0,https://twitter.com/SoyDeSanNicolas/status/1803962036772122874#m,['https://pbs.twimg.com/media/GQiHuVwXkAAqfOB.png'],,,no se relaciona,-1.4111466016620398,sannicolás,[],[],[],[],[]
@webcamsdemexico,Webcams de México,"Jun 20, 2024 · 11:33 PM UTC",reporta abcnoticiasmx que la cola de caballo en santiago nuevoleón se desbordó por los efectos de las lluvias de alberto los escalones que llevan al punto turístico tienen considerables escurrimientos,781,185,11,0,https://twitter.com/webcamsdemexico/status/1803934173989867834#m,,['https://video.twimg.com/ext_tw_video/1803910681508356096/pu/vid/avc1/720x1280/2A5BviBRVov620IC.mp4?tag=12'],,inundación,-1.0619151424616575,santiago,[],['cola de caballo'],[],['nuevoleón'],[]
@TodosSomosHLM,Hacienda Los Morales,"Jun 11, 2024 · 1:14 AM UTC",nuevamente los vecinos de roble entre conductores y hércules hacienda los morales er sector san nicolás se volvieron a quedar sin energía eléctrica apenas en la madrugada se la reconectaron y hoy con la lluvia de nuevo sin luz cfecontigo cc cicmty,4,2,1,0,https://twitter.com/TodosSomosHLM/status/1800335708869296392#m,,,,lluvia,-1.3102287761867046,sannicolás,[],['hércules hacienda'],[],[],[]
@NorbertoHdz,cousin richie,"May 26, 2024 · 4:52 PM UTC",cfecontigo sin luz desde las pm de ayer en calle manzanos en hacienda los morales en san nicolás número de reporte d transformador presenta fuga de aceite por favor su apoyo danielcarrillo mariogameztv telediariomty nmasmonterrey todossomoshlm,1,2,1,0,https://twitter.com/NorbertoHdz/status/1794773534679671241#m,,,,eléctrico,-1.2994724698364737,sannicolás,[],['calle manzanos'],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 3:33 PM UTC",precaución en isidoro sepúlveda y miguel aleman apodaca la caída de agua a las alcantarillas es muy fuerte y provoca que se salga el agua aydmonterrey staclinea,35,6,1,0,https://twitter.com/Apodaca_News/status/1804175878940770749#m,['https://pbs.twimg.com/media/GQm4ZiDWUAAXrHh.jpg'],,,inundación,-1.213982531800866,apodaca,[],['isidoro sepúlveda'],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 5:09 AM UTC",don antonio olalde bustamante de años fue visto en la lluvia desorientado y no recuerda donde vive está en resguardo en la delegación margaritas apodaca sspapodaca,45,33,1,0,https://twitter.com/Apodaca_News/status/1804018831687356876#m,['https://pbs.twimg.com/media/GQkpkQXXMAArWLw.jpg'],,,lluvia,-1.008001588284969,apodaca,['delegación margaritas'],[],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 3:24 AM UTC",ante las inundaciones en la ciudad el transmetro se suspende en sectores de apodaca,8,2,0,0,https://twitter.com/Apodaca_News/status/1803992484285919520#m,,,,inundación,-1.1575929634273052,apodaca,['ciudad el transmetro'],[],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 2:11 AM UTC",imágenes de las pm en av rafael garcía apodaca en la zona de home depot concordia está empezando a subir el nivel del agua ya rebasa la banqueta en algunos puntos de la ciudad,414,35,4,1,https://twitter.com/Apodaca_News/status/1803974039385330065#m,,['https://video.twimg.com/amplify_video/1803973987795349504/pl/P0eNmi9AyelmV7Jr.m3u8?tag=16'],,inundación,-0.6356631368398666,apodaca,[],['av rafael garcía'],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 21, 2024 · 2:04 AM UTC",vista desde quinta colonial apodaca viendo a la tormenta alejándose de la ciudad dejando más lluvia a su paso extremen precauciones,101,7,3,0,https://twitter.com/Apodaca_News/status/1803972140028342734#m,,['https://video.twimg.com/amplify_video/1803972090908803072/pl/FgBRZBU3hMLUe8V6.m3u8?tag=16'],,lluvia,-0.6714067310094833,apodaca,[],[],[],[],[]
@Apodaca_News,APODACA NEWS,"Jun 20, 2024 · 3:54 PM UTC",continúan cierres de las vialidades en apodaca evite pasar por estas zonas desde ayer en la noche presentan un alto nivel de agua que no permiten pasar sspapodaca resguarda estos cruces,36,10,0,0,https://twitter.com/Apodaca_News/status/1803818788367835287#m,"['https://pbs.twimg.com/media/GQhzoJxWQAA8Xge.jpg', 'https://pbs.twimg.com/media/GQhzoJxXYAAK6xl.jpg', 'https://pbs.twimg.com/media/GQhzoJyXsAAWfMo.jpg']",,,no se relaciona,-0.527550458908081,apodaca,[],[],[],[],[]
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 7:16 PM UTC",cruces en zonas de riesgo juan pablo ii cristina larralde inundación baja las puentes cristina larralde inundación baja juan pablo ii cristina larralde y san nicolás inundación baja,1,1,0,0,https://twitter.com/GobSanNicolas/status/1804231976712573429#m,,,,inundación,-1.4537313878536224,sannicolás,[],[],[],[],[]
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 2:38 AM UTC",juan pablo ii cristina larralde y san nicolás inundación media av manuel l barragán desde sendero hasta fidel vzz inundación media av lópez mateos en sus cruces con privada lópez mateos y fundidores inundación media,3,3,0,0,https://twitter.com/GobSanNicolas/status/1803980707024273897#m,,,,inundación,-0.764989361166954,sannicolás,[],"['av manuel l', 'av lópez mateos']",[],[],[]
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 2:36 AM UTC",san nicolás actualización tormenta tropical alberto hora jueves de junio,30,5,11,0,https://twitter.com/GobSanNicolas/status/1803980369026269446#m,['https://pbs.twimg.com/media/GQkGcRMWQAA2VEn.jpg'],,,inundación,-0.4259611517190933,sannicolás,[],[],[],[],[]
@GobSanNicolas,Gobierno de San Nicolás,"Jun 21, 2024 · 2:46 PM UTC",san nicolás actualización tormenta tropical alberto hora viernes de junio,15,3,2,0,https://twitter.com/GobSanNicolas/status/1804163990227947733#m,['https://pbs.twimg.com/media/GQmtlnzWkAA4I8G.jpg'],,,inundación,-0.425222098827362,sannicolás,[],[],[],[],[]
