Usuario,Nombre,Fecha,Texto,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Tipo
@Cicmty,CIC,"Jun 21, 2024 · 9:30 PM UTC",cuidadodelagua fuga de agua limpia en un domicilio en olmos entre av potrero de anáhuac y encinos col potrero anáhuac sannicolás vía enriquemgo cc aydmonterrey kmgn,1,0,0,0,https://twitter.com/Cicmty/status/1804265702800736423#m,,,,no se relaciona
@conagua_mx,Conagua,"Jun 21, 2024 · 9:44 PM UTC",comunicado por temporal de lluvias y nueva bajapresión en el golfodeméxico se emite llamado a extremar medidas de prevención más información en,10,6,0,0,https://twitter.com/conagua_mx/status/1804269219258765732#m,['https://pbs.twimg.com/media/GQoNLy8XYAAyfCm.jpg'],,,lluvia
@ConaguaCampeche,Conagua Campeche,"Jun 21, 2024 · 4:05 PM UTC",luego de las lluvias torrenciales registradas en campeche se apoya a la población de las zonas bajas inundadas además se bombea agua sobre la autopista champotóncampeche en el cruce del arroyo siho,9,3,1,0,https://twitter.com/ConaguaCampeche/status/1804183798298361917#m,['https://pbs.twimg.com/media/GQm_mpPX0AIf-bc.jpg'],,,inundación
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 2:58 PM UTC",un canal de bajapresión en la sierra madre occidental y centro de provocará lluvias torrenciales en gro oax pue y ver intensas en camp tamps chis col hgo jal mich qroo slp tab y yuc muy fuertes en edomex gto mor nay nl qro y tlax,55,22,1,2,https://twitter.com/GermanMSantoyo/status/1804166978799563137#m,['https://pbs.twimg.com/media/GQmvCSjXYAEASjW.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 21, 2024 · 2:07 PM UTC",se prevén lluvias puntuales torrenciales en guerrero oaxaca puebla y veracruz en las próximas horas más información en,20,5,0,1,https://twitter.com/conagua_mx/status/1804154097269887474#m,['https://pbs.twimg.com/media/GQmkl1WWIAA63nl.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,159,30,1,2,https://twitter.com/conagua_mx/status/1803980948914012667#m,,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/pl/eF9GKfL-epglWvJc.m3u8?tag=12'],,lluvia
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,12,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,,,lluvia
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,120,25,3,1,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,19,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg'],,,lluvia
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,22,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,,,lluvia
