ID,Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje,colonia,calle,municipio,REGION,geometría
1,@Cicmty,CIC,"Jun 20, 2024 · 2:40 AM UTC",serviciodeelectricidad sin servicio en a avenida entre av raúl rangel frías y a avenida col cumbres do sector monterrey vía wsp cc cfecontigo,eléctrico,7,2,3,0,https://twitter.com/Cicmty/status/1803618975412265375#m,,,,-1.45083797,,,Monterrey,,
2,@Cicmty,CIC,"Jun 20, 2024 · 2:30 AM UTC",banquetaobstruida por vehículos estacionados en av matehuala entre saltillo y monclova col mitras centro monterrey vía civix comunidadmitras cc sspcmonterrey,problema vial,7,0,1,0,https://twitter.com/Cicmty/status/1803616426558890076#m,"['https://pbs.twimg.com/media/GQe7klwbcAAivmc.jpg', 'https://pbs.twimg.com/media/GQe7klxakAEwJER.jpg']",,,-0.473589748,MITRAS CENTRO,Avenida Matehuala,Monterrey,,"POLYGON Z ((-100.34944999971754 25.69958000041686 0, -100.34940000010977 25.70020999979181 0, -100.34940000010977 25.700450000067633 0, -100.34936000006383 25.70096000020402 0, -100.34936000006383 25.70135999976435 0, -100.34934999960262 25.70219999983027 0, -100.34932000001783 25.70307999994219 0, -100.34929999999486 25.70396000005411 0, -100.34929999999486 25.704089999753876 0, -100.34932999957965 25.704869999750827 0, -100.34835999981397 25.70484000016603 0, -100.34778000004684 25.70482000014306 0, -100.34759000027816 25.704809999681913 0, -100.34716999979548 25.70482000014306 0, -100.34521999980302 25.704800000120088 0, -100.34505999961914 25.704800000120088 0, -100.34410999987642 25.704769999635914 0, -100.3432400002257 25.70476000007409 0, -100.34293000031909 25.704740000051117 0, -100.34236000011379 25.704720000028146 0, -100.34225999999887 25.70469000044335 0, -100.34174999986243 25.704659999959176 0, -100.34160999970157 25.70465000039735 0, -100.34162999972455 25.704809999681913 0, -100.34158000011678 25.705330000279446 0, -100.34133999984095 25.7053199998183 0, -100.34133999984095 25.70681000018152 0, -100.34131999981798 25.707949999692914 0, -100.34123000016422 25.708559999944214 0, -100.34076000007377 25.708450000267476 0, -100.34076000007377 25.70859000042833 0, -100.34074999961263 25.70903000003466 0, -100.3407699996356 25.709899999685376 0, -100.34078999965863 25.710039999846288 0, -100.3408099996816 25.711320000417857 0, -100.3411999996801 25.711329999979682 0, -100.34121000014125 25.711869999700866 0, -100.34016999984544 25.71192000020801 0, -100.33903999989593 25.711929999769836 0, -100.33797999957716 25.71190000018504 0, -100.33640499979077 25.711807000392923 0, -100.33547500007103 25.711481999794614 0, -100.33475500014299 25.711104000349508 0, -100.33464000023565 25.71022000005314 0, -100.33478000039656 25.704780000097116 0, -100.33478000039656 25.70467000042032 0, -100.33571999967808 25.70469000044335 0, -100.3369899997885 25.704729999589972 0, -100.3369200001577 25.70457000030541 0, -100.33747999990192 25.704590000328437 0, -100.33755000043203 25.703859999939198 0, -100.33762000006283 25.703420000332926 0, -100.33774000020071 25.702669999920715 0, -100.33786999990042 25.701849999877766 0, -100.33788000036157 25.701729999739882 0, -100.33797000001533 25.701009999811788 0, -100.33805000010727 25.70061000025146 0, -100.33809000015322 25.700149999722896 0, -100.33823999987595 25.699420000232976 0, -100.33827000036007 25.69913999991121 0, -100.3383199999679 25.698729999889736 0, -100.33833999999086 25.698549999682882 0, -100.3383800000368 25.698150000122553 0, -100.33840000005978 25.69776000012405 0, -100.33846999969057 25.69747999980234 0, -100.33858999982846 25.696759999874246 0, -100.33860999985149 25.69651999959848 0, -100.33868000038154 25.696050000407354 0, -100.33872999998937 25.695779999647414 0, -100.33879000005828 25.69536999962594 0, -100.33883000010428 25.69505000015755 0, -100.33994999959265 25.695190000318405 0, -100.3413900003481 25.69412999999969 0, -100.34098000032662 25.694049999907747 0, -100.3411300000493 25.693180000256973 0, -100.34125000018719 25.69230999970688 0, -100.34028000042156 25.692209999591967 0, -100.33928999973352 25.692090000353403 0, -100.33940999987146 25.691210000241483 0, -100.33942000033261 25.691119999688397 0, -100.33948000040152 25.69076000017401 0, -100.33955999959414 25.690259999599448 0, -100.33961000010129 25.68986000003912 0, -100.33965000014723 25.689420000432847 0, -100.33969000019323 25.68906000001914 0, -100.33977000028511 25.68865999955949 0, -100.33994000003082 25.687399999910213 0, -100.33989999998488 25.687319999818328 0, -100.33975999982397 25.687270000210503 0, -100.33944000035558 25.68727999977233 0, -100.33967999973203 25.68706999998068 0, -100.3401000002147 25.686880000212 0, -100.34028999998338 25.68690000023497 0, -100.34049000021321 25.686920000257942 0, -100.3420300001842 25.687060000418853 0, -100.34408999985345 25.68727999977233 0, -100.34474000015075 25.687350000302445 0, -100.34654999998236 25.687520000048153 0, -100.34751000018622 25.68762999972489 0, -100.34954000027062 25.687879999562483 0, -100.3503800003366 25.687999999700367 0, -100.35046000042854 25.68803000018454 0, -100.35059999969008 25.688059999769337 0, -100.35085000042704 25.688090000253453 0, -100.35094999964264 25.68815999988425 0, -100.35116999989543 25.68821999995322 0, -100.35133999964114 25.688300000045103 0, -100.35141999973303 25.688409999721898 0, -100.351479999802 25.688560000343898 0, -100.351479999802 25.68815999988425 0, -100.35161000040102 25.688190000368365 0, -100.35157999991691 25.688649999997665 0, -100.35153999987097 25.689300000294963 0, -100.35166000000885 25.689300000294963 0, -100.35161000040102 25.690250000037622 0, -100.35157000035508 25.690780000197037 0, -100.35149000026314 25.691680000331928 0, -100.351479999802 25.691879999662433 0, -100.3514500002172 25.692300000145053 0, -100.3514100001712 25.692910000396353 0, -100.35137000012526 25.694080000391864 0, -100.35135999966411 25.694259999699398 0, -100.35133999964114 25.694620000113105 0, -100.35133999964114 25.695230000364404 0, -100.35133000007932 25.695460000179025 0, -100.35133999964114 25.69605999996918 0, -100.35133999964114 25.69624999973786 0, -100.35127999957217 25.696260000199004 0, -100.3512299999644 25.696240000176033 0, -100.35122000040252 25.69647999955248 0, -100.35120000037955 25.696759999874246 0, -100.35120000037955 25.696920000058128 0, -100.3511899999184 25.697089999803836 0, -100.35120000037955 25.697519999848282 0, -100.35120000037955 25.697599999940223 0, -100.35118000035658 25.69885000002762 0, -100.35104999975755 25.698939999681386 0, -100.3510200001727 25.698820000442822 0, -100.35098999968858 25.698729999889736 0, -100.35092999961961 25.698660000258997 0, -100.35085000042704 25.698620000212998 0, -100.35038999989843 25.698549999682882 0, -100.3499900003381 25.69837999993723 0, -100.34971000001633 25.69817000014558 0, -100.34948999976353 25.697989999938727 0, -100.34944000015571 25.69874000035088 0, -100.34944999971754 25.69958000041686 0))"
3,@Cicmty,CIC,"Jun 20, 2024 · 2:01 AM UTC",atención sigue las recomendaciones que aquí te compartimos para mantenerte seguro en caso de emergencia llama al reporta cualquier incidente zona de riesgo o inundación en reportarcicmx prevención emergencias alberto,inundación,7,4,1,0,https://twitter.com/Cicmty/status/1803609079648051321#m,['https://pbs.twimg.com/media/GQe05bQWEAQ2XGa.jpg'],,,1.157521605,,,,zona de riesgo,
4,@Cicmty,CIC,"Jun 20, 2024 · 1:49 AM UTC",incendio en cables de electricidad de manuel gonzález y general porfirio díaz col centro sanpedro vía freddymenchaca cc cfecontigo sanpedro zgia,incendio,3,2,1,0,https://twitter.com/Cicmty/status/1803606173142360132#m,,,,-1.407526493,,,,,
5,@Cicmty,CIC,"Jun 20, 2024 · 1:33 AM UTC",cuidadodelagua fuga de agua limpia en medidor de av lázaro cárdenas entre damián carmona y el roble col leones monterrey vía dianatovart cc aydmonterrey permítenos ayudar a más ciudadanos como tú dona ahora,inundación,10,3,1,0,https://twitter.com/Cicmty/status/1803602116315062466#m,['https://pbs.twimg.com/media/GQeuap1aIAIkx3p.jpg'],,,1.012406826,,Avenida Lázaro Cárdenas,,,
6,@Cicmty,CIC,"Jun 20, 2024 · 1:16 AM UTC",semáforodescompuesto luces rojas parpadeando en dr julián villarreal y santiago tapia col centro monterrey vía nadyakarine cc sedusomonterrey sspcmonterrey qcpj,eléctrico,2,1,0,0,https://twitter.com/Cicmty/status/1803597672106045555#m,,,,-0.678001344,,Julian Villarreal,"Santiago, Monterrey",,
7,@Cicmty,CIC,"Jun 20, 2024 · 1:11 AM UTC",serviciodeelectricidad sin servicio en juan ignacio ramón entre porfirio díaz y serafín peña col centro monterrey cc cfecontigo,eléctrico,3,1,0,0,https://twitter.com/Cicmty/status/1803596547613167880#m,,,,-1.471101046,,Calle Serafín Peña,Monterrey,,
8,@Cicmty,CIC,"Jun 20, 2024 · 1:01 AM UTC",mantente seguro durante la tormenta tropical alberto consulta el directorio de albergues permanentes del dif nuevo león y sigue las indicaciones de las autoridades nlgobmxpublicacionesalbe tormentatropicalalberto proteccióncivil alberguesseguros,lluvia,2,3,0,0,https://twitter.com/Cicmty/status/1803593986902294587#m,['https://pbs.twimg.com/media/GQenK8dXkAAce3L.jpg'],,,1.047745585,,,,,
9,@Cicmty,CIC,"Jun 20, 2024 · 12:52 AM UTC",serviciodeelectricidad sin servicio en josé alvarado santos entre av raúl salinas lozano y dr ignacio morones prieto col felipe carrillo puerto escobedo vía fameedna cc cfecontigo,eléctrico,10,0,0,1,https://twitter.com/Cicmty/status/1803591843822838188#m,,,,-1.506756902,,Calle Felipe Carrillo,,,
10,@Cicmty,CIC,"Jun 20, 2024 · 12:42 AM UTC",vialidad cerrada por encharcamiento en av rodrigo gómez y av penitenciaria monterrey vía pcmty,inundación,33,10,1,2,https://twitter.com/Cicmty/status/1803589294621094101#m,['https://pbs.twimg.com/media/GQei4m-XYAAsBzY.jpg'],,,-0.957203269,,"Avenida Rodrigo Gómez, Avenida Penitenciaría",Monterrey,,
