Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje
@Cicmty,CIC,"Jun 20, 2024 · 2:40 AM UTC",serviciodeelectricidad sin servicio en a avenida entre av raúl rangel frías y a avenida col cumbres do sector monterrey vía wsp cc cfecontigo,eléctrico,7,2,3,0,https://twitter.com/Cicmty/status/1803618975412265375#m,,,,-1.45083797
@Cicmty,CIC,"Jun 20, 2024 · 2:30 AM UTC",banquetaobstruida por vehículos estacionados en av matehuala entre saltillo y monclova col mitras centro monterrey vía civix comunidadmitras cc sspcmonterrey,problema vial,7,0,1,0,https://twitter.com/Cicmty/status/1803616426558890076#m,"['https://pbs.twimg.com/media/GQe7klwbcAAivmc.jpg', 'https://pbs.twimg.com/media/GQe7klxakAEwJER.jpg']",,,-0.473589748
@Cicmty,CIC,"Jun 20, 2024 · 2:01 AM UTC",atención sigue las recomendaciones que aquí te compartimos para mantenerte seguro en caso de emergencia llama al reporta cualquier incidente zona de riesgo o inundación en reportarcicmx prevención emergencias alberto,inundación,7,4,1,0,https://twitter.com/Cicmty/status/1803609079648051321#m,['https://pbs.twimg.com/media/GQe05bQWEAQ2XGa.jpg'],,,1.157521605
@Cicmty,CIC,"Jun 20, 2024 · 1:49 AM UTC",incendio en cables de electricidad de manuel gonzález y general porfirio díaz col centro sanpedro vía freddymenchaca cc cfecontigo sanpedro zgia,incendio,3,2,1,0,https://twitter.com/Cicmty/status/1803606173142360132#m,,,,-1.407526493
@Cicmty,CIC,"Jun 20, 2024 · 1:33 AM UTC",cuidadodelagua fuga de agua limpia en medidor de av lázaro cárdenas entre damián carmona y el roble col leones monterrey vía dianatovart cc aydmonterrey permítenos ayudar a más ciudadanos como tú dona ahora,inundación,10,3,1,0,https://twitter.com/Cicmty/status/1803602116315062466#m,['https://pbs.twimg.com/media/GQeuap1aIAIkx3p.jpg'],,,1.012406826
@Cicmty,CIC,"Jun 20, 2024 · 1:16 AM UTC",semáforodescompuesto luces rojas parpadeando en dr julián villarreal y santiago tapia col centro monterrey vía nadyakarine cc sedusomonterrey sspcmonterrey qcpj,eléctrico,2,1,0,0,https://twitter.com/Cicmty/status/1803597672106045555#m,,,,-0.678001344
@Cicmty,CIC,"Jun 20, 2024 · 1:11 AM UTC",serviciodeelectricidad sin servicio en juan ignacio ramón entre porfirio díaz y serafín peña col centro monterrey cc cfecontigo,eléctrico,3,1,0,0,https://twitter.com/Cicmty/status/1803596547613167880#m,,,,-1.471101046
@Cicmty,CIC,"Jun 20, 2024 · 1:01 AM UTC",mantente seguro durante la tormenta tropical alberto consulta el directorio de albergues permanentes del dif nuevo león y sigue las indicaciones de las autoridades nlgobmxpublicacionesalbe tormentatropicalalberto proteccióncivil alberguesseguros,lluvia,2,3,0,0,https://twitter.com/Cicmty/status/1803593986902294587#m,['https://pbs.twimg.com/media/GQenK8dXkAAce3L.jpg'],,,1.047745585
@Cicmty,CIC,"Jun 20, 2024 · 12:52 AM UTC",serviciodeelectricidad sin servicio en josé alvarado santos entre av raúl salinas lozano y dr ignacio morones prieto col felipe carrillo puerto escobedo vía fameedna cc cfecontigo,eléctrico,10,0,0,1,https://twitter.com/Cicmty/status/1803591843822838188#m,,,,-1.506756902
@Cicmty,CIC,"Jun 20, 2024 · 12:42 AM UTC",vialidad cerrada por encharcamiento en av rodrigo gómez y av penitenciaria monterrey vía pcmty,inundación,33,10,1,2,https://twitter.com/Cicmty/status/1803589294621094101#m,['https://pbs.twimg.com/media/GQei4m-XYAAsBzY.jpg'],,,-0.957203269
