Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs,Puntaje,colonia,calle,municipio,REGION,geometría,label,eléctrico,incendio,inundación,lluvia,no se relaciona,problema vial
@IdentidadNL,Identidad Nuevo León,"Jun 15, 2024 · 1:18 PM UTC",una explosión por acumulación de gas en escobedo dejó una vivienda destrozada y personas heridas la onda expansiva dañó un total de domicilios explosión escobedo alerta proteccióncivil pcnuevoleon mtyfollow identidadnlcom,incendio,1,0,0,0,https://twitter.com/IdentidadNL/status/1801967436326908024#m,,['https://video.twimg.com/ext_tw_video/1801967361542545408/pu/pl/DMafFisQ3IMH1hAB.m3u8?tag=12'],,-1.916298597,,,Escobedo,,,1,0.2639511227607727,0.24019256234169006,0.020896222442388535,0.02724062278866768,0.05932728201150894,0.3883921802043915
@IdentidadNL,Identidad Nuevo León,"May 6, 2024 · 1:39 AM UTC",incendio se quema la plaza tiktok en monterrey el comercio ubicado en las calles juan ignacio ramón y garibaldio sufrio un siniestro similar el de diciembre de riesgo bomberosnl pcnuevoleon pcmty,incendio,4,3,1,0,https://twitter.com/IdentidadNL/status/1787296131984024026#m,,['https://video.twimg.com/ext_tw_video/1787296046705467392/pu/pl/lq8xwXNpZV6OnFK3.m3u8?tag=12'],,-1.866583144,,,Monterrey,,,1,0.023447662591934204,0.9052572846412659,0.010661695152521133,0.008044731803238392,0.019768299534916878,0.032820310443639755
@nmasmonterrey,N+ Monterrey,"Jun 20, 2024 · 2:35 PM UTC",deja cuatro muertos inundaciones y cierres viales lluvias en nuevo león,lluvia,8,1,0,0,https://twitter.com/nmasmonterrey/status/1803798717461393534#m,,,,-1.859026544,,,,,,3,0.03787025064229965,0.009779700078070164,0.5631036758422852,0.3511798679828644,0.02387167513370514,0.014194754883646965
@IdentidadNL,Identidad Nuevo León,"Jun 9, 2024 · 2:38 AM UTC",lamentable momento del accidente en el rich de san luis potosí donde perdieron la vida dos personas instantáneamente y otras resultaron heridas de gravedad sanluispotosí rich accidente lesionados qepd mtyfollow identidadnlcom,problema vial,22,6,1,0,https://twitter.com/IdentidadNL/status/1799632160669970820#m,,['https://video.twimg.com/ext_tw_video/1799631589145534464/pu/pl/RO5m6sdRpIN2e-Mm.m3u8?tag=12'],,-1.833623414,,,,,,5,0.016858546063303947,0.02421625331044197,0.010777104645967484,0.011572448536753654,0.02154030092060566,0.9150353670120239
@Cicmty,CIC,"Jun 14, 2024 · 5:24 PM UTC",homicidio hombre que habitaba una cueva en una zona poco poblada en mina es localizado sin vida con desprendimiento del rostro y partes mutiladas del cuerpo despliegue se da a unas cuadras de la cabecera municipal zona ya asegurada por la policía municipal agentes,no se relaciona,5,2,1,0,https://twitter.com/Cicmty/status/1801666934628327455#m,['https://pbs.twimg.com/media/GQDOeMoWwAA0x1d.jpg'],,,-1.829428545,,,,,,4,0.019141022115945816,0.010443992912769318,0.03590446338057518,0.03322765603661537,0.8539977669715881,0.04728513956069946
@PC_NuevoLeon,Protección Civil NL,"Sep 3, 2024 · 3:44 PM UTC",incendio en comercio elementos de protección civil de nuevo león acuden a reporte de incendio dentro de la empresa mekra lang méxico en el municipio de escobedo se controla por parte de bomberos nuevo león se consumió basura y material reciclado al interior,incendio,17,1,1,0,https://twitter.com/PC_NuevoLeon/status/1830995354654752871#m,['https://pbs.twimg.com/media/GWkAi4_W4AAybU8.jpg'],,,-1.829090646,,,Escobedo,,,1,0.021394789218902588,0.9116097092628479,0.013407086953520775,0.008684358559548855,0.021815508604049683,0.023088544607162476
@revistacodigo21,Jesús Rubén Peña,"Sep 2, 2024 · 6:42 PM UTC",explosión en cercanías de escuela secundaria colonia módulo de reynosa deja un muerto y varios heridos redes atribuyen detonación a supuesto artefacto explosivo según supuestos datos de protección civil policías difunden versión de acumulación de gas tamaulipas,incendio,128,61,6,11,https://twitter.com/revistacodigo21/status/1830677584738410688#m,"['https://pbs.twimg.com/media/GWffhwTXsAER-Ic.jpg', 'https://pbs.twimg.com/media/GWffiCmWUAEQVs3.jpg', 'https://pbs.twimg.com/media/GWffiPNWgAAbbXb.jpg']",,,-1.82791425,,,,,,1,0.2623205780982971,0.283104807138443,0.02865903452038765,0.03167000785470009,0.06646521389484406,0.3277803063392639
@Informativo3651,Informativo365,"Jun 22, 2024 · 11:40 PM UTC",lamentablenoticia localizan sin vida a mujer que fue arrastrada por la corriente en cadereyta concepción garza de años fue localizada sin vida tras ser arrastrada por la corriente de un arroyo en ejido los ébanos en cadereyta fueron los habitantes del lugar quienes,no se relaciona,11,5,1,0,https://twitter.com/Informativo3651/status/1804660671763660829#m,"['https://pbs.twimg.com/media/GQtsJa0WQAA71K8.jpg', 'https://pbs.twimg.com/media/GQtsJa0XsAASe6F.jpg', 'https://pbs.twimg.com/media/GQtsJa1WYAAlWR0.jpg']",,,-1.82720065,,Calle Garza,,,,4,0.017351340502500534,0.012184266932308674,0.0372786745429039,0.0413174033164978,0.8563988208770752,0.03546946123242378
@revistacodigo21,Jesús Rubén Peña,"Sep 6, 2024 · 10:08 PM UTC",otra víctima de la irresponsabilidad por deficiente obra muere mujer y hombre resulta herido al derrumbarse barda en construcción en crucero de luis mora y guerrero aledaño a centro de monterrey probable causa reblandecimiento por lluvias reforma,lluvia,6,4,0,0,https://twitter.com/revistacodigo21/status/1832179092034068730#m,,,,-1.818407262,CENTRO DE MONTERREY,,,,,3,0.012806841172277927,0.003313342109322548,0.010950005613267422,0.9655309319496155,0.003618642222136259,0.003780238563194871
@telediariomty,@telediariomty,"Dec 7, 2023 · 2:26 AM UTC",el incendio de un vehículo provocado por un accidente vial se registró la noche de este miércoles en el carril exprés de la avenida constitución a la transitada avenida acudieron bomberos quienes sofocaron el incendio en su totalidad,problema vial,18,4,0,0,https://twitter.com/telediariomty/status/1732587296455578000#m,,['https://video.twimg.com/amplify_video/1732587111834935297/pl/NVEGFdE-XlSwkEq6.m3u8?tag=14'],,-1.817596406,,Avenida Constitución,,,,5,0.024470381438732147,0.4466027021408081,0.011137560941278934,0.018257448449730873,0.022995010018348694,0.4765368700027466
@IdentidadNL,Identidad Nuevo León,"Jun 5, 2024 · 12:16 AM UTC",mujer muere golpeada por locomotora empress accidente tren kcsg,problema vial,1,0,0,0,https://twitter.com/IdentidadNL/status/1798146726240624701#m,,,,-1.807838921,,,,,,5,0.035037796944379807,0.05996603146195412,0.014543337747454643,0.011716463603079319,0.04890008643269539,0.8298363089561462
@OswaldoC10,Oswaldo C.,"Jun 20, 2024 · 10:42 PM UTC",cfecontigo cfemx tenemos horas sin servicio en monterrey nadie contesta en no responden mensajes aquí en x y la app no deja hacer reportes urge una respuesta atentosmtysur elnorte mtyfollow mtygob colosioriojas,eléctrico,4,1,2,0,https://twitter.com/OswaldoC10/status/1803921392192151911#m,"['https://pbs.twimg.com/media/GQjQ75pakAATnna.jpg', 'https://pbs.twimg.com/media/GQjQ77qakAIrATm.jpg', 'https://pbs.twimg.com/media/GQjQ75uakAYe_6F.jpg']",,,-1.787783825,,,Monterrey,,,0,0.9324210286140442,0.023166870698332787,0.01185996551066637,0.011541874147951603,0.009100347757339478,0.011910013854503632
