Usuario,Nombre,Fecha,Texto,Tipo,Nivel,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Jun 20, 2024 · 2:01 AM UTC",atención sigue las recomendaciones que aquí te compartimos para mantenerte seguro en caso de emergencia llama al reporta cualquier incidente zona de riesgo o inundación en reportarcicmx prevención emergencias alberto,inundación,,7,4,1,0,https://twitter.com/Cicmty/status/1803609079648051321#m,['https://pbs.twimg.com/media/GQe05bQWEAQ2XGa.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:49 AM UTC",incendio en cables de electricidad de manuel gonzález y general porfirio díaz col centro sanpedro vía freddymenchaca cc cfecontigo sanpedro zgia,eléctrico,,3,2,1,0,https://twitter.com/Cicmty/status/1803606173142360132#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:33 AM UTC",cuidadodelagua fuga de agua limpia en medidor de av lázaro cárdenas entre damián carmona y el roble col leones monterrey vía dianatovart cc aydmonterrey permítenos ayudar a más ciudadanos como tú dona ahora,no se relaciona,,10,3,1,0,https://twitter.com/Cicmty/status/1803602116315062466#m,['https://pbs.twimg.com/media/GQeuap1aIAIkx3p.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 12:37 AM UTC",inundación en santa rosa mezquital y calle gaseoducto evite la zona apodaca vía apodacanews,inundación,,7,1,1,0,https://twitter.com/Cicmty/status/1803587992411386062#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:26 AM UTC",vialidad reportan lluvia intermitente pero fuerte en la zona centro de salinasvictoria vía danilouanl,lluvia,,4,0,0,0,https://twitter.com/Cicmty/status/1803585243867402397#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 12:18 AM UTC",inundación en av andrómeda y gasoducto apodaca vía apodacanews cc pcnuevoleon staclinea,inundación,,1,1,1,0,https://twitter.com/Cicmty/status/1803583087047221525#m,,,
@Cicmty,CIC,"Jun 19, 2024 · 11:50 PM UTC",inundación en av constitución y padre mier centro monterrey vía pcmty,inundación,,214,45,4,3,https://twitter.com/Cicmty/status/1803576103191404941#m,,['https://video.twimg.com/ext_tw_video/1803576067967287297/pu/vid/avc1/848x480/Sn0WJ_PyftcPVonC.mp4?tag=12'],
@Cicmty,CIC,"Jun 19, 2024 · 11:35 PM UTC",vialidad reportan lluvias fuertes a la altura de la col raúl caballero fomerrey escobedo vía reportereporte,lluvia,,7,0,0,0,https://twitter.com/Cicmty/status/1803572271715590608#m,,,
@conagua_mx,Conagua,"Jun 21, 2024 · 2:39 AM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las h se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,lluvia,,114,18,1,1,https://twitter.com/conagua_mx/status/1803980948914012667#m,,['https://video.twimg.com/ext_tw_video/1803980909273624578/pu/pl/eF9GKfL-epglWvJc.m3u8?tag=12'],
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",además se prevén lluvias intensas en durango guanajuato hidalgo nayarit querétaro y zacatecas muy fuertes en aguascalientes campeche chihuahua colima guerrero jalisco michoacán quintana roo y sinaloa así como fuertes en yucatán,lluvia,,9,5,1,0,https://twitter.com/GermanMSantoyo/status/1803964012696043834#m,,,
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 21, 2024 · 1:31 AM UTC",aunque alberto ya se disipó es preciso no bajar la guardia porque sus remanentes siguen provocando lluvias considerables el smnmx informa que durante esta noche y madrugada habrá lluvias torrenciales en chiapas coahuila nl oax pue slp tamaulipas y veracruz,lluvia,,96,23,3,0,https://twitter.com/GermanMSantoyo/status/1803964010968015285#m,['https://pbs.twimg.com/media/GQj3tMsXUAAT5E_.jpg'],,
@conagua_mx,Conagua,"Jun 21, 2024 · 1:16 AM UTC",se pronostican lluvias torrenciales para coahuila nuevoleón oaxaca puebla sanluispotosí tamaulipas y veracruz más información en,lluvia,,16,6,0,0,https://twitter.com/conagua_mx/status/1803960266834743694#m,['https://pbs.twimg.com/media/GQj0SajakAY6SZ7.jpg'],,
@conagua_mx,Conagua,"Jun 21, 2024 · 1:15 AM UTC",como medida preventiva ante las lluvias que genera la bajapresión remanente de alberto a las hrs se incrementó la extracción en la presa la boca pasando de ms a ms por vertedor controlado actualmente tiene un de llenado con ingresos de ms,lluvia,,19,3,1,0,https://twitter.com/conagua_mx/status/1803959774230515780#m,,,
@conagua_mx,Conagua,"Jun 20, 2024 · 10:44 PM UTC",como medida preventiva ante las lluvias que sigue generando alberto ahora como bajapresión remanente a las horas se incrementó la extracción de ms a ms por vertedor controlado en la presa la boca se encuentra al de llenado con ingresos de ms,lluvia,,45,7,1,0,https://twitter.com/conagua_mx/status/1803921797953524066#m,['https://pbs.twimg.com/media/GQjRS9takAEOzbD.jpg'],,
@conagua_mx,Conagua,"Jun 20, 2024 · 10:02 PM UTC",avisometrorológico alberto ahora bajapresión remanente genera lluvias torrenciales en siete entidades más información en,lluvia,,12,4,1,0,https://twitter.com/conagua_mx/status/1803911387460018625#m,['https://pbs.twimg.com/media/GQjH139XEAA24lk.jpg'],,
@conagua_mx,Conagua,"Jun 20, 2024 · 3:09 PM UTC",con personal y equipo especializado el organismo de cuenca aguas del valledeméxico de la conaguamx concluyó de forma anticipada a lo inicialmente previsto las reparaciones de la fuga presentada en la planta de bombeo número del sistema cutzamala,inundación,,54,24,3,1,https://twitter.com/conagua_mx/status/1803807439608758281#m,['https://pbs.twimg.com/media/GQhpPM9WMAI63Op.jpg'],,
@conagua_mx,Conagua,"Jun 20, 2024 · 1:32 PM UTC",comunicado antes de lo programado se concluye reparación de fuga en la planta de bombeo del sistema cutzamala más información en,no se relaciona,,57,24,5,1,https://twitter.com/conagua_mx/status/1803782864611238096#m,['https://pbs.twimg.com/media/GQhS9NIWEAA8q2c.jpg'],,
@conagua_mx,Conagua,"Jun 20, 2024 · 12:04 PM UTC",avisometeorológico alberto se ubica muy próximo a las costas de tamaulipas y veracruz y ocasiona lluvias en gran parte de méxico más información en,lluvia,,26,6,0,0,https://twitter.com/conagua_mx/status/1803760724994351602#m,['https://pbs.twimg.com/media/GQg-0jHWcAAWJRU.jpg'],,
@GermanMSantoyo,Germán A. Martínez Santoyo,"Jun 20, 2024 · 1:22 AM UTC",su amplia circulación produce lluvias extraordinarias en nuevo león tamaulipas san luis potosí veracruz hidalgo y puebla lluvias torrenciales en coahuila lluvias intensas en zacatecas querétaro oaxaca chiapas tabasco campeche y quintana roo,lluvia,,6,4,1,0,https://twitter.com/GermanMSantoyo/status/1803599163944247541#m,,,
