Usuario,Nombre,Fecha,Texto,Tipo,Likes,Retweets,Comentarios,Citas,Enlace,Imágenes,Videos,GIFs
@Cicmty,CIC,"Jun 20, 2024 · 2:54 AM UTC",cuidadodelagua sin suministro de agua en la col ciudad ideal sannicolás vía laura cc aydmonterrey,no se relaciona,6,0,1,0,https://twitter.com/Cicmty/status/1803622434119331947#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 2:40 AM UTC",serviciodeelectricidad sin servicio en a avenida entre av raúl rangel frías y a avenida col cumbres do sector monterrey vía wsp cc cfecontigo,eléctrico,7,2,3,0,https://twitter.com/Cicmty/status/1803618975412265375#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 2:30 AM UTC",banquetaobstruida por vehículos estacionados en av matehuala entre saltillo y monclova col mitras centro monterrey vía civix comunidadmitras cc sspcmonterrey,problema vial,7,0,1,0,https://twitter.com/Cicmty/status/1803616426558890076#m,"['https://pbs.twimg.com/media/GQe7klwbcAAivmc.jpg', 'https://pbs.twimg.com/media/GQe7klxakAEwJER.jpg']",,
@Cicmty,CIC,"Jun 20, 2024 · 2:07 AM UTC",transportepúblico rutas que suspenden labores a apoyo solamente llegarán hasta estación santa lucía y circuito valle nuevoleón vía imyanl permítenos ayudar a más ciudadanos como tú dona ahora,no se relaciona,25,27,0,2,https://twitter.com/Cicmty/status/1803610714890027248#m,"['https://pbs.twimg.com/media/GQe1lscaIAAmHMX.jpg', 'https://pbs.twimg.com/media/GQe1lsaaIAA-EWZ.jpg']",,
@Cicmty,CIC,"Jun 20, 2024 · 2:01 AM UTC",atención sigue las recomendaciones que aquí te compartimos para mantenerte seguro en caso de emergencia llama al reporta cualquier incidente zona de riesgo o inundación en reportarcicmx prevención emergencias alberto,inundación,7,4,1,0,https://twitter.com/Cicmty/status/1803609079648051321#m,['https://pbs.twimg.com/media/GQe05bQWEAQ2XGa.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:49 AM UTC",incendio en cables de electricidad de manuel gonzález y general porfirio díaz col centro sanpedro vía freddymenchaca cc cfecontigo sanpedro zgia,incendio,3,2,1,0,https://twitter.com/Cicmty/status/1803606173142360132#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:33 AM UTC",cuidadodelagua fuga de agua limpia en medidor de av lázaro cárdenas entre damián carmona y el roble col leones monterrey vía dianatovart cc aydmonterrey permítenos ayudar a más ciudadanos como tú dona ahora,inundación,10,3,1,0,https://twitter.com/Cicmty/status/1803602116315062466#m,['https://pbs.twimg.com/media/GQeuap1aIAIkx3p.jpg'],,
@Cicmty,CIC,"Jun 20, 2024 · 1:16 AM UTC",semáforodescompuesto luces rojas parpadeando en dr julián villarreal y santiago tapia col centro monterrey vía nadyakarine cc sedusomonterrey sspcmonterrey qcpj,eléctrico,2,1,0,0,https://twitter.com/Cicmty/status/1803597672106045555#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:11 AM UTC",serviciodeelectricidad sin servicio en juan ignacio ramón entre porfirio díaz y serafín peña col centro monterrey cc cfecontigo,eléctrico,3,1,0,0,https://twitter.com/Cicmty/status/1803596547613167880#m,,,
@Cicmty,CIC,"Jun 20, 2024 · 1:09 AM UTC",vialidades cerradas nuevoleón,no se relaciona,84,50,1,1,https://twitter.com/Cicmty/status/1803595921747484924#m,['https://pbs.twimg.com/media/GQeowy0bIAAgiZ1.jpg'],,
